Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
ORCL,162.75,2026-09-11,2,142.00,Put,1.45,140.00,Put,1.18,141.73,-12.92%,0.27,1.73,+15.61%,"6.41 to 1",69.13%,17.1%
ORCL,162.75,2026-09-11,2,145.00,Put,2.05,135.00,Put,0.62,143.57,-11.78%,1.43,8.57,+16.69%,"5.99 to 1",69.13%,19.5%
ORCL,162.75,2026-09-11,2,145.00,Put,2.05,140.00,Put,1.18,144.13,-11.44%,0.87,4.13,+21.07%,"4.75 to 1",69.13%,20.2%
ORCL,162.75,2026-09-11,2,145.00,Put,2.05,142.00,Put,1.51,144.46,-11.24%,0.54,2.46,+21.95%,"4.56 to 1",69.13%,20.7%
"Downloaded from Barchart.com as of 09-09-2026 09:25am CDT"
