Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
MRVL,237.04,2026-10-16,55,185.00,Put,6.85,150.00,Put,2.12,180.27,-23.95%,4.73,30.27,+15.63%,"6.40 to 1",53.99%,18.4%
MRVL,237.04,2026-10-16,55,190.00,Put,7.7,150.00,Put,2.12,184.42,-22.20%,5.58,34.42,+16.21%,"6.17 to 1",53.99%,20.5%
MRVL,237.04,2026-10-16,55,185.00,Put,6.85,155.00,Put,2.65,180.8,-23.73%,4.2,25.8,+16.28%,"6.14 to 1",53.99%,18.7%
MRVL,237.04,2026-10-16,55,190.00,Put,7.7,155.00,Put,2.65,184.95,-21.98%,5.05,29.95,+16.86%,"5.93 to 1",53.99%,20.7%
MRVL,237.04,2026-10-16,55,180.00,Put,5.6,160.00,Put,2.98,177.38,-25.17%,2.62,17.38,+15.07%,"6.63 to 1",53.99%,17.0%
MRVL,237.04,2026-10-16,55,185.00,Put,6.85,160.00,Put,2.98,181.13,-23.59%,3.87,21.13,+18.32%,"5.46 to 1",53.99%,18.8%
MRVL,237.04,2026-10-16,55,190.00,Put,7.7,160.00,Put,2.98,185.28,-21.84%,4.72,25.28,+18.67%,"5.36 to 1",53.99%,20.9%
MRVL,237.04,2026-10-16,55,190.00,Put,7.7,180.00,Put,6.25,188.55,-20.46%,1.45,8.55,+16.96%,"5.90 to 1",53.99%,22.6%
AVGO,368.45,2026-10-16,55,320.00,Put,7.55,300.00,Put,4.35,316.8,-14.02%,3.2,16.8,+19.05%,"5.25 to 1",53.40%,20.5%
AVGO,368.45,2026-10-16,55,320.00,Put,7.55,310.00,Put,5.85,318.3,-13.61%,1.7,8.3,+20.48%,"4.88 to 1",53.40%,21.3%
"Downloaded from Barchart.com as of 08-22-2026 09:29am CDT"
