投資組合
金融產品描述,持倉,貨幣,市價,市場價值,平均價格,未實現盈虧,已實現盈虧,最後清算,證券類型,Delta金額
ES     SEP2026 8400 C (EW),1,USD,1.3816061,69.08,8.530738,-357.46,0.00,No,FOP,5481.17
ES     SEP2026 8200 C (EW),-1,USD,5.7752075,-288.76,26.969262,1059.70,0.00,No,FOP,-20332.22
ES     SEP2026 7350 P (EW),-1,USD,39.2355309,-1961.78,44.719262,274.19,0.00,No,FOP,63665.57
ES     SEP2026 7150 P (EW),1,USD,24.5701504,1228.51,30.030738,-273.03,0.00,No,FOP,-38753.17
CONL   OCT2026 5 P [CONL  261016P00005000 100],-1,USD,0.6116243,-61.16,0.650153,3.85,0.00,No,OPT,155.76
CL     NOV2026 60 P (LO),1,USD,0.1969449,196.94,1.2425833,-1045.64,0.00,No,FOP,-2451.43
CL     OCT2026 65 P (LO),1,USD,0.111842,111.84,0.9525724,-840.73,0.00,No,FOP,-1904.29
BMNU,60,USD,18.1000004,1086.00,45.3910683,-1637.46,0.00,No,STK,1086.00
BMNR   SEP2026 24 C [BMNR  260918C00024000 100],-1,USD,1.9228241,-192.28,0.332441,-159.04,0.00,No,OPT,-1090.68
BMNR   SEP2026 15 P [BMNR  260918P00015000 100],-1,USD,0.0509833,-5.10,0.302442,25.15,0.00,No,OPT,69.27
BMNR,300,USD,23.5599994,7068.00,33.185164,-2887.55,0.00,No,STK,7068.00
BITU   OCT2026 11 P [BITU  261016P00011000 100],-1,USD,0.5367123,-53.67,0.640153,10.34,0.00,No,OPT,300.14

現金餘額
EUR,12505,EUR
JPY,-56518,JPY
SGD,37573,SGD
USD,45782,USD
總計 (in SGD),113775,SGD

