Statement,Header,域名稱,域值
Statement,Data,Title,轉賬歷史
Statement,Data,Period,"六月 23, 2026 - 八月 7, 2026"
Statement,Data,WhenGenerated,"2026-08-10, 10:54:51 EDT"
總結,Header,域名稱,域值
總結,Data,基礎貨幣,SGD
總結,Data,期初現金,62170.490999638685
總結,Data,變更,-56266.364222301774
總結,Data,期末現金,5904.126777336911
轉賬歷史,Header,日期,賬戶,說明,交易類型,代碼,交易量,價格,Price Currency,總額,佣金,淨金額
轉賬歷史,Data,2026-08-05,U***32085,MHNG SEP26 Position MTM,持倉按市價計值(MTM),MNGU6,-,-,-,-15.374399999999998,-,-15.374399999999998
轉賬歷史,Data,2026-08-05,U***32085,MGC 28OCT26 Position MTM,持倉按市價計值(MTM),MGCV6,-,-,-,-3879.4736,-,-3879.4736
轉賬歷史,Data,2026-08-05,U***32085,MES 18SEP26 Position MTM,持倉按市價計值(MTM),MESU6,-,-,-,1024.9599999999998,-,1024.9599999999998
轉賬歷史,Data,2026-08-05,U***32085,MNQ 18SEP26 Position MTM,持倉按市價計值(MTM),MNQU6,-,-,-,5094.0512,-,5094.0512
轉賬歷史,Data,2026-08-05,U***32085,VXM 19AUG26 Position MTM,持倉按市價計值(MTM),VXMQ6,-,-,-,-158.12570399999998,-,-158.12570399999998
轉賬歷史,Data,2026-08-05,U***32085,MBT 28AUG26 Position MTM,持倉按市價計值(MTM),MBTQ6,-,-,-,-76.2314,-,-76.2314
轉賬歷史,Data,2026-08-05,U***32085,MJY 14SEP26 Position MTM,持倉按市價計值(MTM),MJYU6,-,-,-,9.609,-,9.609
轉賬歷史,Data,2026-08-05,U***32085,MGC 28OCT26,賣,MGCV6,-1.0,4155.6,USD,53241.54719999999(1),-1.229952,-1509.3130476799997
轉賬歷史,Data,2026-08-05,U***32085,MES 18SEP26,賣,MESU6,-1.0,7789.0,USD,49896.333999999995(1),-0.7815319999999999,252.18513011999997
轉賬歷史,Data,2026-08-05,U***32085,MJY 14SEP26,賣,MJYU6,-1.0,0.006372,USD,10204.758(1),-0.5124799999999999,14.6556468
