Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
FAR EAST PLAZA,SCOTTS ROAD,Retail,"2,200,000",376.74,"5,840",Jul-26,Strata,35,"62,857",Freehold,09,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Retail,"1,635,000","1,270.15","1,287",Jul-26,Strata,118,"13,856",99 yrs lease commencing from 1970,07,01 to 05
FAR EAST PLAZA,SCOTTS ROAD,Retail,"1,368,000",236.81,"5,777",Jul-26,Strata,22,"62,182",Freehold,09,01 to 05
FAR EAST PLAZA,SCOTTS ROAD,Retail,"1,950,000",247.57,"7,876",Jul-26,Strata,23,"84,783",Freehold,09,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Retail,"920,000",344.45,"2,671",Jul-26,Strata,32,"28,750",999 yrs lease commencing from 1829,06,01 to 05
LUCKY PLAZA,ORCHARD ROAD,Retail,"1,960,000",387.5,"5,058",Jul-26,Strata,36,"54,444",Freehold,09,01 to 05
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,"1,800,000",538.2,"3,344",Jun-26,Strata,50,"36,000",999 yrs lease commencing from 1827,07,01 to 05
LUCKY PLAZA,ORCHARD ROAD,Retail,"1,950,000",312.16,"6,247",Jun-26,Strata,29,"67,241",Freehold,09,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Retail,"2,950,000",635.08,"4,645",Jun-26,Strata,59,"50,000",Freehold,09,01 to 05
PARC SOMME,SOMME ROAD,Retail,"803,800",409.03,"1,965",Jun-26,Strata,38,"21,153",99 yrs lease commencing from 2008,08,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,"980,000",753.48,"1,301",Jun-26,Strata,70,"14,000",99 yrs lease commencing from 1974,07,06 to 10
UNITED HOUSE,KRAMAT LANE,Retail,"1,000,000",441.32,"2,266",Jun-26,Strata,41,"24,390",Freehold,09,01 to 05
