Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
BUKIT TIMAH PLAZA,JALAN ANAK BUKIT,Retail,"1,380,000",602.78,"2,289",Jun-26,Strata,56,"24,643",99 yrs lease commencing from 1976,21,01 to 05
N.A.,JALAN JURONG KECHIL,Retail,"3,000,000",731.95,"4,099",Jun-26,Strata,68,"44,118",Freehold,21,-
N.A.,JALAN JURONG KECHIL,Retail,"3,500,000",893.41,"3,918",Jun-26,Strata,83,"42,169",Freehold,21,-
SUITES AT BUKIT TIMAH,JALAN JURONG KECHIL,Retail,"360,000",107.64,"3,344",May-26,Strata,10,"36,000",Freehold,21,01 to 05
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"650,000",236.81,"2,745",May-26,Strata,22,"29,545",999 yrs lease commencing from 1883,21,01 to 05
NARRA RESIDENCES,DAIRY FARM WALK,Retail,"1,195,000",376.74,"3,172",Feb-26,Strata,35,"34,143",99 yrs lease commencing from 2025,23,01 to 05
NARRA RESIDENCES,DAIRY FARM WALK,Retail,"1,195,000",376.74,"3,172",Feb-26,Strata,35,"34,143",99 yrs lease commencing from 2025,23,01 to 05
BUKIT TIMAH PLAZA,JALAN ANAK BUKIT,Retail,"65,395,697","44,810.53","1,459",Feb-26,Strata,"4,163","15,709",99 yrs lease commencing from 1976,21,B1 to B5
BUKIT PANJANG PLAZA,JELEBU ROAD,Retail,"428,000,000","143,408.77","2,984",Jan-26,Strata,"13,323","32,125",99 yrs lease commencing from 1994,23,-
VISION EXCHANGE,VENTURE DRIVE,Retail,"4,600,000","1,022.58","4,498",Jan-26,Strata,95,"48,421",99 yrs lease commencing from 2013,22,01 to 05
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"388,000",96.88,"4,005",Jan-26,Strata,9,"43,111",99 yrs lease commencing from 1979,21,01 to 05
KAP,KING ALBERT PARK,Retail,"2,500,000",710.42,"3,519",Dec-25,Strata,66,"37,879",Freehold,21,01 to 05
KAP,KING ALBERT PARK,Retail,"2,580,000",688.9,"3,745",Dec-25,Strata,64,"40,313",Freehold,21,01 to 05
SUITES AT BUKIT TIMAH,JALAN JURONG KECHIL,Retail,"520,000",107.64,"4,831",Dec-25,Strata,10,"52,000",Freehold,21,01 to 05
BUKIT TIMAH PLAZA,JALAN ANAK BUKIT,Retail,"1,050,000",312.16,"3,364",Nov-25,Strata,29,"36,207",99 yrs lease commencing from 1976,21,B1 to B5
PANDAN VALLEY,PANDAN VALLEY,Retail,"3,360,000","1,679.18","2,001",Nov-25,Strata,156,"21,538",Freehold,21,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Retail,"1,210,000",559.73,"2,162",Oct-25,Strata,52,"23,269",99 yrs lease commencing from 2014,25,06 to 10
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"1,700,000",495.14,"3,433",Sep-25,Strata,46,"36,957",99 yrs lease commencing from 1979,21,01 to 05
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"530,000",182.99,"2,896",Sep-25,Strata,17,"31,176",999 yrs lease commencing from 1883,21,01 to 05
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"1,100,000",365.98,"3,006",Sep-25,Strata,34,"32,353",999 yrs lease commencing from 1883,21,01 to 05
BUKIT TIMAH PLAZA,JALAN ANAK BUKIT,Retail,"430,000",139.93,"3,073",Aug-25,Strata,13,"33,077",99 yrs lease commencing from 1976,21,B1 to B5
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"2,080,000",678.13,"3,067",Aug-25,Strata,63,"33,016",99 yrs lease commencing from 1979,21,01 to 05
BEAUTY WORLD PLAZA,UPPER BUKIT TIMAH ROAD,Retail,"980,000",279.86,"3,502",Aug-25,Strata,26,"37,692",999 yrs lease commencing from 1884,21,01 to 05
KAP,KING ALBERT PARK,Retail,"2,000,000",807.3,"2,477",Jul-25,Strata,75,"26,667",Freehold,21,01 to 05
BUKIT TIMAH PLAZA,JALAN ANAK BUKIT,Retail,"1,000,000",365.98,"2,732",Jun-25,Strata,34,"29,412",99 yrs lease commencing from 1976,21,01 to 05
BUKIT TIMAH PLAZA,JALAN ANAK BUKIT,Retail,"1,618,000",538.2,"3,006",Jun-25,Strata,50,"32,360",99 yrs lease commencing from 1976,21,B1 to B5
BUKIT TIMAH PLAZA,JALAN ANAK BUKIT,Retail,"1,420,000",613.55,"2,314",Jun-25,Strata,57,"24,912",99 yrs lease commencing from 1976,21,01 to 05
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"640,000",204.52,"3,129",May-25,Strata,19,"33,684",99 yrs lease commencing from 1979,21,01 to 05
JK BUILDING,JALAN JURONG KECHIL,Retail,"2,358,000","1,054.87","2,235",Apr-25,Strata,98,"24,061",Freehold,21,-
WOODS SQUARE,WOODLANDS SQUARE,Retail,"1,171,569",559.73,"2,093",Nov-24,Strata,52,"22,530",99 yrs lease commencing from 2014,25,06 to 10
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"880,000",430.56,"2,044",Nov-24,Strata,40,"22,000",999 yrs lease commencing from 1883,21,01 to 05
N.A.,ENG KONG TERRACE,Retail,"1,800,000","1,248.62","1,442",Nov-24,Strata,116,"15,517",999 yrs lease commencing from 1994,21,-
