Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
N.A.,JALAN TAMPANG,Shop House,"4,350,000","1,608.14","2,705",May-26,Land,149.4,"29,116",Freehold,27,-
SEMBAWANG PARK,SEMBAWANG ROAD,Shop House,"3,950,000","1,810.5","2,182",May-26,Land,168.2,"23,484",Freehold,27,-
N.A.,UPPER THOMSON ROAD,Shop House,"3,700,000","1,259.39","2,938",Jan-26,Strata,117,"31,624",Freehold,26,-
SELETAR HILLS ESTATE,JALAN KELULUT,Shop House,"5,500,000","3,330.38","1,651",Nov-25,Land,309.4,"17,776",Freehold,28,-
SEMBAWANG PARK,SEMBAWANG ROAD,Shop House,"3,250,000","1,721.16","1,888",Jul-25,Land,159.9,"20,325",Freehold,27,-
PLATINA GARDENS,SEMBAWANG ROAD,Shop House,"2,400,000","1,054.87","2,275",Feb-24,Strata,98,"24,490",Freehold,27,-
N.A.,THONG SOON AVENUE,Shop House,"1,716,888","1,776.06",967,Aug-23,Strata,165,"10,405",Freehold,26,-
N.A.,UPPER THOMSON ROAD,Shop House,"5,418,888","1,569.39","3,453",May-23,Land,145.8,"37,167",Freehold,26,-
SEMBAWANG PARK,SEMBAWANG ROAD,Shop House,"3,300,000","1,721.16","1,917",Dec-22,Land,159.9,"20,638",Freehold,27,-
N.A.,JALAN KAYU,Shop House,"5,400,000","1,805.12","2,991",Mar-22,Land,167.7,"32,200",999 yrs lease commencing from 1879,28,-
N.A.,JALAN KAYU,Shop House,"4,200,000","2,331.48","1,801",Jan-22,Land,216.6,"19,391",999 yrs lease commencing from 1879,28,-
N.A.,SEMBAWANG ROAD,Shop House,"3,600,000","1,249.7","2,881",Nov-21,Land,116.1,"31,008",999 yrs lease commencing from 1885,27,-
