Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
WOODS SQUARE,WOODLANDS SQUARE,Office,"978,000",559.73,"1,747",Jul-26,Strata,52,"18,808",99 yrs lease commencing from 2014,25,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"955,000",516.67,"1,848",Jun-26,Strata,48,"19,896",99 yrs lease commencing from 2013,22,11 to 15
VISION EXCHANGE,VENTURE DRIVE,Office,"1,000,000",516.67,"1,935",Jun-26,Strata,48,"20,833",99 yrs lease commencing from 2013,22,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"1,030,000",516.67,"1,994",May-26,Strata,48,"21,458",99 yrs lease commencing from 2013,22,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,210,000",559.73,"2,162",May-26,Strata,52,"23,269",99 yrs lease commencing from 2014,25,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"908,000",516.67,"1,757",Apr-26,Strata,48,"18,917",99 yrs lease commencing from 2014,25,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,219,086",559.73,"2,178",Apr-26,Strata,52,"23,444",99 yrs lease commencing from 2014,25,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"2,750,000","1,442.38","1,907",Mar-26,Strata,134,"20,522",99 yrs lease commencing from 2013,22,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"2,984,000","1,442.38","2,069",Mar-26,Strata,134,"22,269",99 yrs lease commencing from 2013,22,06 to 10
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Office,"2,480,000",473.62,"5,236",Feb-26,Strata,44,"56,364",99 yrs lease commencing from 1979,21,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"1,280,000",699.66,"1,829",Jan-26,Strata,65,"19,692",99 yrs lease commencing from 2013,22,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,435,000",656.6,"2,185",Jan-26,Strata,61,"23,525",99 yrs lease commencing from 2014,25,11 to 15
VISION EXCHANGE,VENTURE DRIVE,Office,"1,300,000",764.24,"1,701",Dec-25,Strata,71,"18,310",99 yrs lease commencing from 2013,22,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"1,335,000",764.24,"1,747",Nov-25,Strata,71,"18,803",99 yrs lease commencing from 2013,22,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,207,752",559.73,"2,158",Nov-25,Strata,52,"23,226",99 yrs lease commencing from 2014,25,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,207,748",559.73,"2,158",Nov-25,Strata,52,"23,226",99 yrs lease commencing from 2014,25,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,229,519",559.73,"2,197",Nov-25,Strata,52,"23,645",99 yrs lease commencing from 2014,25,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,210,675",548.96,"2,205",Oct-25,Strata,51,"23,739",99 yrs lease commencing from 2014,25,11 to 15
BUKIT TIMAH PLAZA,JALAN ANAK BUKIT,Office,"1,050,000",322.92,"3,252",Oct-25,Strata,30,"35,000",99 yrs lease commencing from 1976,21,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,200,000",559.73,"2,144",Oct-25,Strata,52,"23,077",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,218,000",570.49,"2,135",Oct-25,Strata,53,"22,981",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,191,000",559.73,"2,128",Sep-25,Strata,52,"22,904",99 yrs lease commencing from 2014,25,11 to 15
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"3,525,000","1,926.76","1,829",Sep-25,Strata,179,"19,693",999 yrs lease commencing from 1883,21,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,010,000",559.73,"1,804",Sep-25,Strata,52,"19,423",99 yrs lease commencing from 2014,25,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,200,000",559.73,"2,144",Sep-25,Strata,52,"23,077",99 yrs lease commencing from 2014,25,11 to 15
VISION EXCHANGE,VENTURE DRIVE,Office,"20,500,000","10,774.76","1,903",Aug-25,Strata,"1,001","20,480",99 yrs lease commencing from 2013,22,16 to 20
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,183,633",559.73,"2,115",Jul-25,Strata,52,"22,762",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,271,000","1,033.34","2,198",Jul-25,Strata,96,"23,656",99 yrs lease commencing from 2014,25,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"13,586,000","5,844.85","2,324",Jul-25,Strata,543,"25,020",99 yrs lease commencing from 2013,22,21 to 25
