Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
BUKIT PASOH EXTNSN CONSTN AREA,KEONG SAIK ROAD,Shop House,"16,000,000","1,258.31","12,715",Jun-26,Land,116.9,"136,869",Freehold,02,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"5,600,000",893.41,"6,268",May-26,Land,83,"67,470",99 yrs lease commencing from 1989,02,-
BUKIT PASOH EXTNSN CONSTN AREA,KEONG SAIK ROAD,Shop House,"22,000,000","1,287.37","17,089",May-26,Land,119.6,"183,946",Freehold,02,-
N.A.,PASIR PANJANG ROAD,Shop House,"2,480,000","1,097.93","2,259",Mar-26,Strata,102,"24,314",Freehold,05,-
TELOK AYER CONSERVATION AREA,STANLEY STREET,Shop House,"15,680,000","1,691.02","9,272",Mar-26,Land,157.1,"99,809",Freehold,01,-
N.A.,NORTH CANAL ROAD,Shop House,"23,888,888","1,729.77","13,810",Dec-25,Land,160.7,"148,655",99 yrs lease commencing from 2014,01,-
BUKIT PASOH CONSERVATION AREA,CANTONMENT ROAD,Shop House,"11,550,000","1,336.89","8,639",Dec-25,Land,124.2,"92,995",Freehold,02,-
KRETA AYER CONSERVATION AREA,PAGODA STREET,Shop House,"12,000,000","1,145.29","10,478",Oct-25,Land,106.4,"112,782",99 yrs lease commencing from 1995,01,-
TELOK AYER CONSERVATION AREA,CLUB STREET,Shop House,"21,000,000","2,082.83","10,082",Sep-25,Land,193.5,"108,527",999 yrs lease commencing from 1827,01,-
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,"14,880,000","2,343.32","6,350",Sep-25,Land,217.7,"68,351",Freehold,03,-
N.A.,OUTRAM ROAD,Shop House,"15,000,000","2,167.87","6,919",Jul-25,Land,201.4,"74,479",Freehold,03,-
KRETA AYER CONSERVATION AREA,SMITH STREET,Shop House,"600,000","1,077.48",557,Jul-25,Land,100.1,"5,994",Freehold,01,-
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,"6,150,000",969.84,"6,341",May-25,Land,90.1,"68,257",Freehold,03,-
N.A.,NEIL ROAD,Shop House,"7,700,888","1,387.48","5,550",May-25,Land,128.9,"59,743",99 yrs lease commencing from 1989,02,-
BUKIT PASOH CONSERVATION AREA,NEIL ROAD,Shop House,"12,000,000","1,335.81","8,983",Apr-25,Land,124.1,"96,696",Freehold,02,-
TELOK AYER CONSERVATION AREA,TELOK AYER STREET,Shop House,"14,800,000","1,185.12","12,488",Jan-25,Land,110.1,"134,423",999 yrs lease commencing from 1828,01,-
TANJONG PAGAR CONSERVATION AREA,NEIL ROAD,Shop House,"7,200,000","1,333.66","5,399",Nov-24,Land,123.9,"58,111",99 yrs lease commencing from 2000,02,-
BUKIT PASOH CONSERVATION AREA,CANTONMENT ROAD,Shop House,"11,000,000","1,298.14","8,474",Oct-24,Land,120.6,"91,211",Freehold,02,-
BUKIT PASOH EXTNSN CONSTN AREA,KEONG SAIK ROAD,Shop House,"8,500,000","1,388.56","6,121",Sep-24,Strata,129,"65,891",999 yrs lease commencing from 1967,02,-
TELOK AYER CONSERVATION AREA,CLUB STREET,Shop House,"13,250,000","1,185.12","11,180",Aug-24,Land,110.1,"120,345",999 yrs lease commencing from 1827,01,-
TANJONG PAGAR CONSERVATION AREA,TRAS STREET,Shop House,"10,200,000","1,617.83","6,305",Jul-24,Land,150.3,"67,864",99 yrs lease commencing from 1994,02,-
BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,Shop House,"5,300,000","1,491.89","3,553",Jun-24,Land,138.6,"38,240",Freehold,02,-
BOAT QUAY CONSERVATION AREA,CIRCULAR ROAD,Shop House,"12,280,000","1,188.35","10,334",Jun-24,Land,110.4,"111,232",999 yrs lease commencing from 1826,01,-
TELOK AYER CONSERVATION AREA,TELOK AYER STREET,Shop House,"16,500,000","1,429.46","11,543",May-24,Land,132.8,"124,247",999 yrs lease commencing from 1829,01,-
KRETA AYER CONSERVATION AREA,PAGODA STREET,Shop House,"19,000,000","1,309.98","14,504",Mar-24,Land,121.7,"156,122",Freehold,01,-
KRETA AYER CONSERVATION AREA,MOSQUE STREET,Shop House,"15,930,000","1,202.34","13,249",Mar-24,Land,111.7,"142,614",Freehold,01,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"9,500,000","1,752.38","5,421",Jan-24,Land,162.8,"58,354",99 yrs lease commencing from 2000,02,-
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,"7,880,000","1,174.35","6,710",Sep-23,Land,109.1,"72,227",Freehold,03,-
TANJONG PAGAR CONSERVATION AREA,NEIL ROAD,Shop House,"9,400,000","1,342.27","7,003",Sep-23,Land,124.7,"75,381",99 yrs lease commencing from 1989,02,-
BOAT QUAY CONSERVATION AREA,SOUTH BRIDGE ROAD,Shop House,"11,420,000","1,393.94","8,193",Sep-23,Land,129.5,"88,185",999 yrs lease commencing from 1831,01,-
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,"7,500,000","1,184.04","6,334",Aug-23,Land,110,"68,182",Freehold,03,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"16,200,000","1,683.49","9,623",Aug-23,Land,156.4,"103,581",99 yrs lease commencing from 1988,02,-
KRETA AYER CONSERVATION AREA,MOSQUE STREET,Shop House,"15,600,000","1,250.78","12,472",Aug-23,Land,116.2,"134,251",Freehold,01,-
N.A.,KEONG SAIK ROAD,Shop House,"15,500,000","1,066.71","14,531",Jul-23,Land,99.1,"156,408",Freehold,02,-
TELOK AYER CONSERVATION AREA,ANN SIANG ROAD,Shop House,"32,000,000","1,445.61","22,136",Jul-23,Land,134.3,"238,273",999 yrs lease commencing from 1827,01,-
N.A.,NEW BRIDGE ROAD,Shop House,"5,500,000","1,326.12","4,147",Jun-23,Land,123.2,"44,643",99 yrs lease commencing from 1928,01,-
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,"6,150,000",865.43,"7,106",Jun-23,Land,80.4,"76,493",Freehold,03,-
BOAT QUAY CONSERVATION AREA,BOAT QUAY,Shop House,"30,000,000","1,426.23","21,034",May-23,Land,132.5,"226,415",999 yrs lease commencing from 1826,01,-
N.A.,NEW BRIDGE ROAD,Shop House,"23,800,000","1,452.06","16,390",May-23,Land,134.9,"176,427",99 yrs lease commencing from 2016,01,-
N.A.,HONGKONG STREET,Shop House,"9,600,000","1,883.7","5,096",Apr-23,Land,175,"54,857",99 yrs lease commencing from 1951,01,-
TANJONG PAGAR CONSERVATION AREA,DUXTON HILL,Shop House,"14,300,000","1,252.93","11,413",Apr-23,Land,116.4,"122,852",99 yrs lease commencing from 1988,02,-
TELOK AYER CONSERVATION AREA,STANLEY STREET,Shop House,"29,000,000","1,728.7","16,776",Apr-23,Land,160.6,"180,573",Freehold,01,-
N.A.,SOUTH BUONA VISTA ROAD,Shop House,"7,300,000","2,171.1","3,362",Apr-23,Land,201.7,"36,192",Freehold,05,-
TELOK AYER CONSERVATION AREA,AMOY STREET,Shop House,"21,800,000","1,855.71","11,748",Apr-23,Land,172.4,"126,450",999 yrs lease commencing from 1827,01,-
N.A.,OUTRAM ROAD,Shop House,"9,000,000","1,530.64","5,880",Mar-23,Land,142.2,"63,291",Freehold,03,-
BOAT QUAY CONSERVATION AREA,SOUTH BRIDGE ROAD,Shop House,"10,500,000","1,161.44","9,041",Feb-23,Land,107.9,"97,312",999 yrs lease commencing from 1831,01,-
TANJONG PAGAR CONSERVATION AREA,DUXTON ROAD,Shop House,"8,600,000","1,475.74","5,828",Feb-23,Land,137.1,"62,728",99 yrs lease commencing from 2000,02,-
TANJONG PAGAR CONSERVATION AREA,TRAS STREET,Shop House,"11,900,000","1,332.58","8,930",Feb-23,Land,123.8,"96,123",99 yrs lease commencing from 1994,02,-
N.A.,SOUTH BRIDGE ROAD,Shop House,"13,580,000","2,624.26","5,175",Jan-23,Land,243.8,"55,701",99 yrs lease commencing from 1947,01,-
TELOK AYER CONSERVATION AREA,SOUTH BRIDGE ROAD,Shop House,"15,200,000","1,486.51","10,225",Jan-23,Land,138.1,"110,065",Freehold,01,-
N.A.,KEONG SAIK ROAD,Shop House,"17,000,000","1,090.39","15,591",Dec-22,Land,101.3,"167,818",Freehold,02,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"13,000,000","1,976.27","6,578",Nov-22,Land,183.6,"70,806",99 yrs lease commencing from 2000,02,-
TELOK AYER CONSERVATION AREA,AMOY STREET,Shop House,"18,688,000","1,855.71","10,071",Nov-22,Land,172.4,"108,399",999 yrs lease commencing from 1827,01,-
TANJONG PAGAR CONSERVATION AREA,DUXTON HILL,Shop House,"13,000,000","1,235.71","10,520",Oct-22,Land,114.8,"113,240",99 yrs lease commencing from 1988,02,-
TELOK AYER CONSERVATION AREA,ANN SIANG ROAD,Shop House,"27,188,888","2,646.87","10,272",Oct-22,Land,245.9,"110,569",999 yrs lease commencing from 1827,01,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"9,680,000","1,436.99","6,736",Oct-22,Land,133.5,"72,509",99 yrs lease commencing from 2000,02,-
TANJONG PAGAR CONSERVATION AREA,NEIL ROAD,Shop House,"9,080,000","1,411.16","6,434",Sep-22,Land,131.1,"69,260",99 yrs lease commencing from 1989,02,-
BOAT QUAY CONSERVATION AREA,CIRCULAR ROAD,Shop House,"16,800,000","1,085.01","15,484",Aug-22,Land,100.8,"166,667",999 yrs lease commencing from 1826,01,-
TELOK AYER CONSERVATION AREA,CLUB STREET,Shop House,"17,000,000","2,022.56","8,405",Jun-22,Land,187.9,"90,474",99 yrs lease commencing from 1996,01,-
TELOK AYER CONSERVATION AREA,CLUB STREET,Shop House,"8,877,000","1,533.87","5,787",Jun-22,Land,142.5,"62,295",99 yrs lease commencing from 1996,01,-
BUKIT PASOH CONSERVATION AREA,NEIL ROAD,Shop House,"10,500,000","1,335.81","7,860",May-22,Land,124.1,"84,609",Freehold,02,-
TELOK AYER CONSERVATION AREA,CLUB STREET,Shop House,"13,000,000",987.06,"13,170",May-22,Land,91.7,"141,767",999 yrs lease commencing from 1827,01,-
TELOK AYER CONSERVATION AREA,CLUB STREET,Shop House,"16,500,000","2,627.49","6,280",May-22,Land,244.1,"67,595",999 yrs lease commencing from 1827,01,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"13,250,000","1,297.06","10,215",May-22,Land,120.5,"109,959",99 yrs lease commencing from 1992,02,-
N.A.,JIAK CHUAN ROAD,Shop House,"25,500,000","1,947.21","13,096",Apr-22,Land,180.9,"140,962",Freehold,02,-
BUKIT PASOH CONSERVATION AREA,CANTONMENT ROAD,Shop House,"11,300,000","1,374.56","8,221",Apr-22,Land,127.7,"88,489",Freehold,02,-
N.A.,NORTH CANAL ROAD,Shop House,"8,450,000","1,784.67","4,735",Apr-22,Land,165.8,"50,965",99 yrs lease commencing from 1960,01,-
TELOK AYER CONSERVATION AREA,ANN SIANG ROAD,Shop House,"11,600,000","1,268","9,148",Apr-22,Land,117.8,"98,472",999 yrs lease commencing from 1827,01,-
TANJONG PAGAR CONSERVATION AREA,DUXTON ROAD,Shop House,"8,580,000","1,144.21","7,499",Apr-22,Land,106.3,"80,715",99 yrs lease commencing from 1989,02,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"12,600,000","1,281.99","9,828",Mar-22,Land,119.1,"105,793",99 yrs lease commencing from 1992,02,-
N.A.,NORTH CANAL ROAD,Shop House,"14,380,000","3,207.67","4,483",Mar-22,Land,298,"48,255",99 yrs lease commencing from 1941,01,-
TANJONG PAGAR CONSERVATION AREA,DUXTON HILL,Shop House,"12,680,000","1,244.32","10,190",Mar-22,Land,115.6,"109,689",99 yrs lease commencing from 1989,02,-
BUKIT PASOH EXTNSN CONSTN AREA,JIAK CHUAN ROAD,Shop House,"23,200,000","1,830.96","12,671",Mar-22,Land,170.1,"136,390",Freehold,02,-
N.A.,OUTRAM ROAD,Shop House,"5,715,000","1,270.15","4,499",Mar-22,Strata,118,"48,432",Freehold,03,-
N.A.,NEIL ROAD,Shop House,"8,380,000","1,290.6","6,493",Feb-22,Land,119.9,"69,892",99 yrs lease commencing from 1989,02,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"12,200,000","1,575.85","7,742",Jan-22,Land,146.4,"83,333",99 yrs lease commencing from 1992,02,-
N.A.,CIRCULAR ROAD,Shop House,"30,668,300","3,611.32","8,492",Jan-22,Land,335.5,"91,411",999 yrs lease commencing from 1831,01,-
BOAT QUAY CONSERVATION AREA,BOAT QUAY,Shop House,"17,200,000","1,086.09","15,837",Jan-22,Land,100.9,"170,466",999 yrs lease commencing from 1826,01,-
TELOK AYER CONSERVATION AREA,ANN SIANG ROAD,Shop House,"15,500,000","1,259.39","12,308",Jan-22,Land,117,"132,479",999 yrs lease commencing from 1827,01,-
N.A.,KEONG SAIK ROAD,Shop House,"18,500,000","1,522.03","12,155",Dec-21,Land,141.4,"130,835",Freehold,02,-
KRETA AYER CONSERVATION AREA,TEMPLE STREET,Shop House,"13,800,000","1,473.59","9,365",Dec-21,Land,136.9,"100,804",99 yrs lease commencing from 1998,01,-
TIONG BAHRU ESTATE,ENG HOON STREET,Shop House,"5,500,000",886.95,"6,201",Dec-21,Land,82.4,"66,748",Freehold,03,-
TANJONG PAGAR CONSERVATION AREA,TRAS STREET,Shop House,"11,100,000","1,298.14","8,551",Dec-21,Land,120.6,"92,040",99 yrs lease commencing from 1995,02,-
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,"4,900,000",969.84,"5,052",Dec-21,Land,90.1,"54,384",Freehold,03,-
PORCELAIN HOTEL,MOSQUE STREET,Shop House,"36,471,774","4,110.77","8,872",Nov-21,Land,381.9,"95,501",99 yrs lease commencing from 2002,01,-
PORCELAIN HOTEL,MOSQUE STREET,Shop House,"53,528,225","6,033.22","8,872",Nov-21,Land,560.5,"95,501",99 yrs lease commencing from 2002,01,-
TELOK AYER CONSERVATION AREA,CLUB STREET,Shop House,"26,038,000","2,249.68","11,574",Nov-21,Land,209,"124,584",999 yrs lease commencing from 1827,01,-
BOAT QUAY CONSERVATION AREA,CIRCULAR ROAD,Shop House,"16,180,000","1,252.93","12,914",Nov-21,Land,116.4,"139,003",999 yrs lease commencing from 1826,01,-
TANJONG PAGAR CONSERVATION AREA,NEIL ROAD,Shop House,"7,300,000","1,482.2","4,925",Nov-21,Land,137.7,"53,014",99 yrs lease commencing from 1989,02,-
BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,Shop House,"4,800,000","1,411.16","3,401",Nov-21,Land,131.1,"36,613",Freehold,02,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"4,880,000",838.52,"5,820",Oct-21,Land,77.9,"62,644",99 yrs lease commencing from 1989,02,-
BUKIT PASOH CONSERVATION AREA,KEONG SAIK ROAD,Shop House,"25,009,999","2,762.04","9,055",Oct-21,Land,256.6,"97,467",Freehold,02,-
BUKIT PASOH CONSERVATION AREA,TEO HONG ROAD,Shop House,"15,200,000","1,671.65","9,093",Oct-21,Land,155.3,"97,875",Freehold,02,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"11,300,000","1,290.6","8,756",Oct-21,Land,119.9,"94,245",99 yrs lease commencing from 1992,02,-
BOAT QUAY CONSERVATION AREA,CIRCULAR ROAD,Shop House,"13,000,000","1,078.55","12,053",Oct-21,Land,100.2,"129,741",999 yrs lease commencing from 1826,01,-
BOAT QUAY CONSERVATION AREA,CIRCULAR ROAD,Shop House,"10,700,000",950.46,"11,258",Oct-21,Land,88.3,"121,178",999 yrs lease commencing from 1826,01,-
BOAT QUAY CONSERVATION AREA,CIRCULAR ROAD,Shop House,"9,500,000","1,034.42","9,184",Oct-21,Land,96.1,"98,855",999 yrs lease commencing from 1826,01,-
KRETA AYER CONSERVATION AREA,PAGODA STREET,Shop House,"13,300,000","1,233.55","10,782",Oct-21,Land,114.6,"116,056",Freehold,01,-
TANJONG PAGAR CONSERVATION AREA,DUXTON HILL,Shop House,"7,500,000","1,354.11","5,539",Oct-21,Land,125.8,"59,618",99 yrs lease commencing from 1989,02,-
TELOK AYER CONSERVATION AREA,TELOK AYER STREET,Shop House,"16,800,000","1,452.06","11,570",Sep-21,Land,134.9,"124,537",Freehold,01,-
