Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
GOLDEN VILLAGE - YISHUN TEN,YISHUN CENTRAL 1,Retail,"34,500,000","10,398.02","3,318",Aug-25,Strata,966,"35,714",99 yrs lease commencing from 1990,27,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,365,000",322.92,"4,227",Mar-25,Strata,30,"45,500",99 yrs lease commencing from 2013,27,01 to 05
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,"1,100,000",355.21,"3,097",Feb-25,Strata,33,"33,333",99 yrs lease commencing from 2014,28,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"2,800,000",592.02,"4,730",Jan-25,Strata,55,"50,909",99 yrs lease commencing from 2013,27,01 to 05
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,"1,100,000",355.21,"3,097",Sep-24,Strata,33,"33,333",99 yrs lease commencing from 2014,28,01 to 05
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,"1,100,000",355.21,"3,097",Jul-24,Strata,33,"33,333",99 yrs lease commencing from 2014,28,01 to 05
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,"1,130,000",365.98,"3,088",Jul-24,Strata,34,"33,235",99 yrs lease commencing from 2014,28,01 to 05
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,"1,100,000",355.21,"3,097",Jul-24,Strata,33,"33,333",99 yrs lease commencing from 2014,28,01 to 05
HIGH PARK RESIDENCES,FERNVALE ROAD,Retail,"1,100,000",355.21,"3,097",Jun-24,Strata,33,"33,333",99 yrs lease commencing from 2014,28,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,360,000",269.1,"5,054",Apr-24,Strata,25,"54,400",99 yrs lease commencing from 2013,27,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"920,000",279.86,"3,287",Nov-23,Strata,26,"35,385",99 yrs lease commencing from 2013,27,01 to 05
THE MILTONIA RESIDENCES,MILTONIA CLOSE,Retail,"735,000",592.02,"1,242",Jun-23,Strata,55,"13,364",99 yrs lease commencing from 2010,27,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,862,500",398.27,"4,676",Apr-23,Strata,37,"50,338",99 yrs lease commencing from 2013,27,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,300,000",226.04,"5,751",Apr-23,Strata,21,"61,905",99 yrs lease commencing from 2013,27,01 to 05
SEMBAWANG COTTAGE,SEMBAWANG ROAD,Retail,"3,270,000","1,657.66","1,973",Jan-23,Strata,154,"21,234",Freehold,27,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,135,000",247.57,"4,585",Jan-23,Strata,23,"49,348",99 yrs lease commencing from 2013,27,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,345,000",398.27,"3,377",Nov-22,Strata,37,"36,351",99 yrs lease commencing from 2013,27,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,080,000",322.92,"3,344",Nov-22,Strata,30,"36,000",99 yrs lease commencing from 2013,27,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,310,000",301.39,"4,346",Oct-22,Strata,28,"46,786",99 yrs lease commencing from 2013,27,01 to 05
N.A.,UPPER THOMSON ROAD,Retail,"3,680,000","1,270.15","2,897",Jul-22,Strata,118,"31,186",Freehold,26,-
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,080,000",247.57,"4,362",Jun-22,Strata,23,"46,957",99 yrs lease commencing from 2013,27,01 to 05
N.A.,SEMBAWANG ROAD,Retail,"3,100,000","1,260.46","2,459",Jun-22,Land,117.1,"26,473",Freehold,26,-
JUNCTION NINE,YISHUN AVENUE 9,Retail,"855,000",204.52,"4,181",Apr-22,Strata,19,"45,000",99 yrs lease commencing from 2013,27,01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,060,000",398.27,"2,662",Jan-22,Strata,37,"28,649",99 yrs lease commencing from 2013,27,01 to 05
TEACHER'S HOUSING ESTATE,KALIDASA AVENUE,Retail,"3,500,000","1,722.24","2,032",Sep-21,Strata,160,"21,875",999 yrs lease commencing from 1885,26,-
JUNCTION NINE,YISHUN AVENUE 9,Retail,"1,819,000",398.27,"4,567",Sep-21,Strata,37,"49,162",99 yrs lease commencing from 2013,27,01 to 05
RIVERTREES RESIDENCES,FERNVALE CLOSE,Retail,"1,320,000",656.6,"2,010",Aug-21,Strata,61,"21,639",99 yrs lease commencing from 2013,28,01 to 05
