Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,280,000",785.77,"1,629",Apr-26,Strata,73,"17,534",99 yrs lease commencing from 1969,06,21 to 25
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"3,200,000","1,883.7","1,699",Apr-26,Strata,175,"18,286",99 yrs lease commencing from 1969,06,21 to 25
ARC 380,JALAN BESAR,Office,"2,421,326",721.19,"3,357",Apr-26,Strata,67,"36,139",Freehold,08,11 to 15
ARC 380,JALAN BESAR,Office,"2,221,400",721.19,"3,080",Apr-26,Strata,67,"33,155",Freehold,08,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"3,650,000","1,485.43","2,457",Apr-26,Strata,138,"26,449",999 yrs lease commencing from 1829,06,11 to 15
N.A.,DEVONSHIRE ROAD,Office,"6,600,000","1,100.08","6,000",Apr-26,Land,102.2,"64,579",Freehold,09,-
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,422,000","1,711.48","1,415",Apr-26,Strata,159,"15,233",99 yrs lease commencing from 1980,07,16 to 20
THE PLAZA,BEACH ROAD,Office,"1,050,000",721.19,"1,456",Apr-26,Strata,67,"15,672",99 yrs lease commencing from 1968,07,11 to 15
SIM LIM TOWER,JALAN BESAR,Office,"1,630,000",839.59,"1,941",Apr-26,Strata,78,"20,897",Freehold,08,06 to 10
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"585,000",376.74,"1,553",Apr-26,Strata,35,"16,714",99 yrs lease commencing from 1969,06,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,920,000",398.27,"4,821",Mar-26,Strata,37,"51,892",999 yrs lease commencing from 1829,06,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"945,000",322.92,"2,926",Mar-26,Strata,30,"31,500",999 yrs lease commencing from 1827,06,01 to 05
BOON SING BUILDING,MIDDLE ROAD,Office,"2,480,000","1,119.46","2,215",Mar-26,Strata,104,"23,846",999 yrs lease commencing from 1835,07,01 to 05
WISMA ATRIA,ORCHARD ROAD,Office,"1,865,250",828.83,"2,250",Mar-26,Strata,77,"24,224",99 yrs lease commencing from 1962,09,21 to 25
THE GOLDEN LANDMARK,VICTORIA STREET,Office,"722,000",269.1,"2,683",Mar-26,Strata,25,"28,880",99 yrs lease commencing from 1981,07,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,320,000","1,625.36","1,427",Mar-26,Strata,151,"15,364",99 yrs lease commencing from 1980,07,16 to 20
ARC 380,JALAN BESAR,Office,"5,250,000","1,733","3,029",Mar-26,Strata,161,"32,609",Freehold,08,11 to 15
BYLANDS BUILDING,MIDDLE ROAD,Office,"350,000",204.52,"1,711",Mar-26,Strata,19,"18,421",99 yrs lease commencing from 1978,07,01 to 05
VISIONCREST,PENANG ROAD,Office,"13,181,150","3,336.84","3,950",Mar-26,Strata,310,"42,520",Freehold,09,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Office,"958,888",914.94,"1,048",Mar-26,Strata,85,"11,281",99 yrs lease commencing from 1970,07,11 to 15
JALAN BESAR PLAZA,KITCHENER ROAD,Office,"739,800",301.39,"2,455",Feb-26,Strata,28,"26,421",Freehold,08,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"3,135,000","2,238.91","1,400",Feb-26,Strata,208,"15,072",99 yrs lease commencing from 1980,07,16 to 20
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"940,000",333.68,"2,817",Feb-26,Strata,31,"30,323",999 yrs lease commencing from 1829,06,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"975,000",548.96,"1,776",Feb-26,Strata,51,"19,118",99 yrs lease commencing from 1969,06,16 to 20
CENTRIUM SQUARE,SERANGOON ROAD,Office,"2,200,000",861.12,"2,555",Feb-26,Strata,80,"27,500",Freehold,08,11 to 15
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"950,000",548.96,"1,731",Feb-26,Strata,51,"18,627",99 yrs lease commencing from 1969,06,06 to 10
HIGH STREET PLAZA,HIGH STREET,Office,"1,049,400",495.14,"2,119",Feb-26,Strata,46,"22,813",999 yrs lease commencing from 1827,06,01 to 05
VISIONCREST,PENANG ROAD,Office,"3,389,800",850.36,"3,986",Feb-26,Strata,79,"42,909",Freehold,09,01 to 05
THE CITRON,MARNE ROAD,Office,"620,000",473.62,"1,309",Feb-26,Strata,44,"14,091",Freehold,08,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"3,430,350","1,485.43","2,309",Feb-26,Strata,138,"24,858",999 yrs lease commencing from 1829,06,16 to 20
N.A.,ARMENIAN STREET,Office,"2,180,000",807.3,"2,700",Feb-26,Strata,75,"29,067",99 yrs lease commencing from 2007,06,01 to 05
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,480,000",882.65,"1,677",Jan-26,Strata,82,"18,049",99 yrs lease commencing from 2006,07,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"1,460,000",516.67,"2,826",Jan-26,Strata,48,"30,417",99 yrs lease commencing from 1975,09,06 to 10
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"798,000",516.67,"1,545",Jan-26,Strata,48,"16,625",99 yrs lease commencing from 1974,07,06 to 10
HIGH STREET PLAZA,HIGH STREET,Office,"1,190,000",592.02,"2,010",Jan-26,Strata,55,"21,636",999 yrs lease commencing from 1827,06,01 to 05
CENTRIUM SQUARE,SERANGOON ROAD,Office,"1,450,000",570.49,"2,542",Jan-26,Strata,53,"27,358",Freehold,08,11 to 15
BALMORAL PLAZA,BUKIT TIMAH ROAD,Office,"1,530,000",527.44,"2,901",Jan-26,Strata,49,"31,224",Freehold,10,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,000,000",505.91,"1,977",Jan-26,Strata,47,"21,277",99 yrs lease commencing from 1997,07,06 to 10
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"550,000",269.1,"2,044",Jan-26,Strata,25,"22,000",99 yrs lease commencing from 1969,06,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,040,000",548.96,"1,894",Jan-26,Strata,51,"20,392",99 yrs lease commencing from 1969,06,16 to 20
WISMA ATRIA,ORCHARD ROAD,Office,"4,925,800","2,238.91","2,200",Jan-26,Strata,208,"23,682",99 yrs lease commencing from 1962,09,06 to 10
GOLDEN MILE TOWER,BEACH ROAD,Office,"300,000",193.75,"1,548",Dec-25,Strata,18,"16,667",99 yrs lease commencing from 1969,07,B1 to B5
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"988,000",548.96,"1,800",Dec-25,Strata,51,"19,373",99 yrs lease commencing from 1996,07,06 to 10
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,780,000",990.29,"1,797",Dec-25,Strata,92,"19,348",99 yrs lease commencing from 1996,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"1,218,045",871.88,"1,397",Dec-25,Strata,81,"15,038",99 yrs lease commencing from 1968,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"601,504",430.56,"1,397",Dec-25,Strata,40,"15,038",99 yrs lease commencing from 1968,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"601,504",430.56,"1,397",Dec-25,Strata,40,"15,038",99 yrs lease commencing from 1968,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"616,541",441.32,"1,397",Dec-25,Strata,41,"15,038",99 yrs lease commencing from 1968,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"962,406",688.9,"1,397",Dec-25,Strata,64,"15,038",99 yrs lease commencing from 1968,07,06 to 10
HIGH STREET PLAZA,HIGH STREET,Office,"1,600,000",742.72,"2,154",Dec-25,Strata,69,"23,188",999 yrs lease commencing from 1827,06,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"975,000",548.96,"1,776",Dec-25,Strata,51,"19,118",99 yrs lease commencing from 1969,06,16 to 20
111 SOMERSET,SOMERSET ROAD,Office,"3,680,000","1,259.39","2,922",Dec-25,Strata,117,"31,453",99 yrs lease commencing from 1975,09,11 to 15
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,388,888",688.9,"2,016",Dec-25,Strata,64,"21,701",99 yrs lease commencing from 2006,07,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,445,400",656.6,"2,201",Dec-25,Strata,61,"23,695",999 yrs lease commencing from 1829,06,06 to 10
ORCHARD TOWERS,ORCHARD ROAD,Office,"745,000",301.39,"2,472",Dec-25,Strata,28,"26,607",Freehold,09,06 to 10
N.A.,ARMENIAN STREET,Office,"3,550,000","1,280.92","2,771",Nov-25,Strata,119,"29,832",99 yrs lease commencing from 2007,06,01 to 05
REHAU BUILDING,KING GEORGE'S AVENUE,Office,"40,000,000","5,612.35","7,127",Nov-25,Land,521.4,"76,717",Freehold,08,-
111 SOMERSET,SOMERSET ROAD,Office,"3,332,744","1,216.33","2,740",Nov-25,Strata,113,"29,493",99 yrs lease commencing from 1975,09,06 to 10
THE PLAZA,BEACH ROAD,Office,"1,708,000","1,313.21","1,301",Oct-25,Strata,122,"14,000",99 yrs lease commencing from 1968,07,11 to 15
WISMA ATRIA,ORCHARD ROAD,Office,"2,059,200",936.47,"2,199",Oct-25,Strata,87,"23,669",99 yrs lease commencing from 1962,09,16 to 20
111 SOMERSET,SOMERSET ROAD,Office,"2,499,390",925.7,"2,700",Oct-25,Strata,86,"29,063",99 yrs lease commencing from 1975,09,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"2,005,344",742.72,"2,700",Oct-25,Strata,69,"29,063",99 yrs lease commencing from 1975,09,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"2,121,579",785.77,"2,700",Oct-25,Strata,73,"29,063",99 yrs lease commencing from 1975,09,06 to 10
FORTUNE CENTRE,MIDDLE ROAD,Office,"855,000",301.39,"2,837",Oct-25,Strata,28,"30,536",99 yrs lease commencing from 1980,07,01 to 05
SOUTHBANK,NORTH BRIDGE ROAD,Office,"960,000",527.44,"1,820",Oct-25,Strata,49,"19,592",99 yrs lease commencing from 2006,07,01 to 05
SULTAN PLAZA,JALAN SULTAN,Office,"1,220,000",807.3,"1,511",Oct-25,Strata,75,"16,267",99 yrs lease commencing from 1978,07,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"465,000",269.1,"1,728",Oct-25,Strata,25,"18,600",99 yrs lease commencing from 1969,06,01 to 05
THE PLAZA,BEACH ROAD,Office,"708,000",441.32,"1,604",Oct-25,Strata,41,"17,268",99 yrs lease commencing from 1968,07,11 to 15
WISMA ATRIA,ORCHARD ROAD,Office,"4,899,570","2,217.38","2,210",Oct-25,Strata,206,"23,784",99 yrs lease commencing from 1962,09,21 to 25
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"1,280,000",333.68,"3,836",Sep-25,Strata,31,"41,290",999 yrs lease commencing from 1871,09,01 to 05
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,020,000",570.49,"1,788",Sep-25,Strata,53,"19,245",99 yrs lease commencing from 1996,07,11 to 15
111 SOMERSET,SOMERSET ROAD,Office,"10,593,541","3,638.23","2,912",Sep-25,Strata,338,"31,342",99 yrs lease commencing from 1975,09,11 to 15
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,020,000",581.26,"1,755",Sep-25,Strata,54,"18,889",99 yrs lease commencing from 1996,07,11 to 15
GOLDEN MILE TOWER,BEACH ROAD,Office,"550,000",344.45,"1,597",Sep-25,Strata,32,"17,188",99 yrs lease commencing from 1969,07,06 to 10
CENTRIUM SQUARE,SERANGOON ROAD,Office,"1,570,000",613.55,"2,559",Sep-25,Strata,57,"27,544",Freehold,08,11 to 15
WISMA ATRIA,ORCHARD ROAD,Office,"2,705,100","1,270.15","2,130",Sep-25,Strata,118,"22,925",99 yrs lease commencing from 1962,09,16 to 20
FORTUNE CENTRE,MIDDLE ROAD,Office,"3,195,000","2,238.91","1,427",Sep-25,Strata,208,"15,361",99 yrs lease commencing from 1980,07,16 to 20
BYLANDS BUILDING,MIDDLE ROAD,Office,"365,000",215.28,"1,695",Sep-25,Strata,20,"18,250",99 yrs lease commencing from 1978,07,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"828,888",538.2,"1,540",Sep-25,Strata,50,"16,578",99 yrs lease commencing from 1980,07,11 to 15
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"1,211,010","1,227.1",987,Sep-25,Strata,114,"10,623",99 yrs lease commencing from 1974,07,06 to 10
ARC 380,JALAN BESAR,Office,"2,105,500",721.19,"2,919",Sep-25,Strata,67,"31,425",Freehold,08,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"4,950,000","1,776.06","2,787",Sep-25,Strata,165,"30,000",999 yrs lease commencing from 1829,06,21 to 25
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"1,680,000",355.21,"4,730",Aug-25,Strata,33,"50,909",999 yrs lease commencing from 1871,09,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"780,000",312.16,"2,499",Aug-25,Strata,29,"26,897",999 yrs lease commencing from 1829,06,01 to 05
WISMA ATRIA,ORCHARD ROAD,Office,"1,745,045",828.83,"2,105",Aug-25,Strata,77,"22,663",99 yrs lease commencing from 1962,09,16 to 20
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,020,000",301.39,"3,384",Aug-25,Strata,28,"36,429",999 yrs lease commencing from 1829,06,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Office,"1,038,888",893.41,"1,163",Aug-25,Strata,83,"12,517",99 yrs lease commencing from 1970,07,11 to 15
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"1,218,000",355.21,"3,429",Aug-25,Strata,33,"36,909",999 yrs lease commencing from 1871,09,06 to 10
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,027,500",548.96,"1,872",Aug-25,Strata,51,"20,147",99 yrs lease commencing from 1969,06,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,963,487","1,044.11","1,881",Aug-25,Strata,97,"20,242",999 yrs lease commencing from 1829,06,06 to 10
CENTRIUM SQUARE,SERANGOON ROAD,Office,"2,450,000",979.52,"2,501",Aug-25,Strata,91,"26,923",Freehold,08,11 to 15
THE PLAZA,BEACH ROAD,Office,"705,000",430.56,"1,637",Aug-25,Strata,40,"17,625",99 yrs lease commencing from 1968,07,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,155,000",441.32,"2,617",Jul-25,Strata,41,"28,171",999 yrs lease commencing from 1829,06,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"4,900,000","1,776.06","2,759",Jul-25,Strata,165,"29,697",999 yrs lease commencing from 1829,06,21 to 25
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"920,000",333.68,"2,757",Jul-25,Strata,31,"29,677",999 yrs lease commencing from 1829,06,01 to 05
THE PLAZA,BEACH ROAD,Office,"365,000",226.04,"1,615",Jul-25,Strata,21,"17,381",99 yrs lease commencing from 1968,07,01 to 05
THE PLAZA,BEACH ROAD,Office,"373,500",279.86,"1,335",Jun-25,Strata,26,"14,365",99 yrs lease commencing from 1968,07,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"3,380,000","1,485.43","2,275",Jun-25,Strata,138,"24,493",999 yrs lease commencing from 1829,06,11 to 15
FORTUNE CENTRE,MIDDLE ROAD,Office,"3,100,000","2,217.38","1,398",Jun-25,Strata,206,"15,049",99 yrs lease commencing from 1980,07,11 to 15
111 SOMERSET,SOMERSET ROAD,Office,"3,388,888","1,345.5","2,519",Jun-25,Strata,125,"27,111",99 yrs lease commencing from 1975,09,06 to 10
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"826,800",688.9,"1,200",May-25,Strata,64,"12,919",99 yrs lease commencing from 1974,07,06 to 10
SIM LIM TOWER,JALAN BESAR,Office,"846,944",398.27,"2,127",May-25,Strata,37,"22,890",Freehold,08,06 to 10
SIM LIM TOWER,JALAN BESAR,Office,"1,270,000",592.02,"2,145",May-25,Strata,55,"23,091",Freehold,08,11 to 15
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"690,000",430.56,"1,603",May-25,Strata,40,"17,250",99 yrs lease commencing from 1974,07,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,963,144","1,162.51","1,689",May-25,Strata,108,"18,177",99 yrs lease commencing from 1997,07,06 to 10
LUCKY PLAZA,ORCHARD ROAD,Office,"1,636,800",247.57,"6,611",May-25,Strata,23,"71,165",Freehold,09,01 to 05
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"850,000",182.99,"4,645",May-25,Strata,17,"50,000",999 yrs lease commencing from 1871,09,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"398,000",247.57,"1,608",May-25,Strata,23,"17,304",99 yrs lease commencing from 1969,06,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"5,117,000","1,539.25","3,324",May-25,Strata,143,"35,783",99 yrs lease commencing from 2023,09,06 to 10
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"335,000",172.22,"1,945",May-25,Strata,16,"20,938",99 yrs lease commencing from 1969,06,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,300,000",398.27,"3,264",Apr-25,Strata,37,"35,135",999 yrs lease commencing from 1829,06,01 to 05
CENTRIUM SQUARE,SERANGOON ROAD,Office,"1,560,000",613.55,"2,543",Apr-25,Strata,57,"27,368",Freehold,08,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"4,511,000","1,442.38","3,127",Apr-25,Strata,134,"33,664",99 yrs lease commencing from 2023,09,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"2,150,000","1,097.93","1,958",Apr-25,Strata,102,"21,078",99 yrs lease commencing from 1969,06,11 to 15
N.A.,ARMENIAN STREET,Office,"3,080,000","1,184.04","2,601",Apr-25,Strata,110,"28,000",99 yrs lease commencing from 2007,06,01 to 05
THE GOLDEN MILE,BEACH ROAD,Office,"4,756,858","1,291.68","3,683",Apr-25,Strata,120,"39,640",99 yrs lease commencing from 2024,07,01 to 05
HOA NAM BUILDING,FOCH ROAD,Office,"600,000",236.81,"2,534",Apr-25,Strata,22,"27,273",Freehold,08,01 to 05
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"900,000",215.28,"4,181",Apr-25,Strata,20,"45,000",999 yrs lease commencing from 1871,09,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Office,"1,050,000",398.27,"2,636",Apr-25,Strata,37,"28,378",Freehold,09,11 to 15
HIGH STREET PLAZA,HIGH STREET,Office,"3,500,000","1,291.68","2,710",Apr-25,Strata,120,"29,167",999 yrs lease commencing from 1827,06,01 to 05
SIM LIM TOWER,JALAN BESAR,Office,"1,260,000",592.02,"2,128",Mar-25,Strata,55,"22,909",Freehold,08,06 to 10
THE GOLDEN MILE,BEACH ROAD,Office,"3,149,780",904.18,"3,484",Mar-25,Strata,84,"37,497",99 yrs lease commencing from 2024,07,01 to 05
THE GOLDEN MILE,BEACH ROAD,Office,"3,149,780",904.18,"3,484",Mar-25,Strata,84,"37,497",99 yrs lease commencing from 2024,07,01 to 05
THE PLAZA,BEACH ROAD,Office,"1,270,000",828.83,"1,532",Mar-25,Strata,77,"16,494",99 yrs lease commencing from 1968,07,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"7,337,000","2,195.86","3,341",Mar-25,Strata,204,"35,966",99 yrs lease commencing from 2023,09,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"888,000",893.41,994,Mar-25,Strata,83,"10,699",99 yrs lease commencing from 1970,07,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"6,739,000","2,206.62","3,054",Mar-25,Strata,205,"32,873",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"8,290,000","2,669.47","3,105",Mar-25,Strata,248,"33,427",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"4,449,000","1,410.08","3,155",Mar-25,Strata,131,"33,962",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"4,287,000","1,367.03","3,136",Mar-25,Strata,127,"33,756",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"5,974,000","1,905.23","3,136",Mar-25,Strata,177,"33,751",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"10,261,000","3,379.9","3,036",Mar-25,Strata,314,"32,678",99 yrs lease commencing from 2023,09,01 to 05
CENTRIUM SQUARE,SERANGOON ROAD,Office,"1,570,000",613.55,"2,559",Mar-25,Strata,57,"27,544",Freehold,08,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"937,300",721.19,"1,300",Mar-25,Strata,67,"13,990",99 yrs lease commencing from 1970,07,01 to 05
SOUTHBANK,NORTH BRIDGE ROAD,Office,"2,238,000","1,593.07","1,405",Mar-25,Strata,148,"15,122",99 yrs lease commencing from 2006,07,06 to 10
CONNEXION,FARRER PARK STATION ROAD,Office,"4,727,700",764.24,"6,186",Mar-25,Strata,71,"66,587",99 yrs lease commencing from 2007,08,06 to 10
CONNEXION,FARRER PARK STATION ROAD,Office,"4,857,480",785.77,"6,182",Mar-25,Strata,73,"66,541",99 yrs lease commencing from 2007,08,06 to 10
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"1,100,000",258.34,"4,258",Mar-25,Strata,24,"45,833",999 yrs lease commencing from 1871,09,01 to 05
SULTAN PLAZA,JALAN SULTAN,Office,"346,888",236.81,"1,465",Feb-25,Strata,22,"15,768",99 yrs lease commencing from 1978,07,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,693,000",958,"1,767",Feb-25,Strata,89,"19,022",99 yrs lease commencing from 1997,07,11 to 15
ONE CLAYMORE,CLAYMORE DRIVE,Office,"2,250,000","1,108.69","2,029",Feb-25,Strata,103,"21,845",Freehold,09,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"1,565,000",538.2,"2,908",Feb-25,Strata,50,"31,300",99 yrs lease commencing from 1975,09,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"1,280,000",914.94,"1,399",Feb-25,Strata,85,"15,059",99 yrs lease commencing from 1970,07,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"1,718,000","1,108.69","1,550",Feb-25,Strata,103,"16,680",99 yrs lease commencing from 1980,07,16 to 20
ONE SOPHIA,SOPHIA ROAD,Office,"3,807,000","1,119.46","3,401",Feb-25,Strata,104,"36,606",99 yrs lease commencing from 2023,09,06 to 10
CENTRIUM SQUARE,SERANGOON ROAD,Office,"1,917,000",710.42,"2,698",Feb-25,Strata,66,"29,045",Freehold,08,11 to 15
CENTRIUM SQUARE,SERANGOON ROAD,Office,"2,643,300",979.52,"2,699",Feb-25,Strata,91,"29,047",Freehold,08,11 to 15
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,676,000",958,"1,749",Feb-25,Strata,89,"18,831",99 yrs lease commencing from 1997,07,11 to 15
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,776,000","1,184.04","1,500",Feb-25,Strata,110,"16,145",99 yrs lease commencing from 2006,07,16 to 20
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,210,000",548.96,"2,204",Jan-25,Strata,51,"23,725",99 yrs lease commencing from 1969,06,11 to 15
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"385,000",247.57,"1,555",Jan-25,Strata,23,"16,739",99 yrs lease commencing from 1969,06,01 to 05
