Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
BYLANDS BUILDING,MIDDLE ROAD,Office,"440,000",258.34,"1,703",Jul-26,Strata,24,"18,333",99 yrs lease commencing from 1978,07,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,388,000",785.77,"1,766",Jul-26,Strata,73,"19,014",99 yrs lease commencing from 1969,06,11 to 15
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"2,152,150","1,001.05","2,150",Jun-26,Strata,93,"23,141",99 yrs lease commencing from 1969,06,16 to 20
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"980,000",548.96,"1,785",Jun-26,Strata,51,"19,216",99 yrs lease commencing from 1969,06,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,420,000",624.31,"2,275",Jun-26,Strata,58,"24,483",999 yrs lease commencing from 1829,06,06 to 10
UNITED HOUSE,KRAMAT LANE,Office,"1,388,000",592.02,"2,345",Jun-26,Strata,55,"25,236",Freehold,09,01 to 05
WISMA ATRIA,ORCHARD ROAD,Office,"2,920,680","1,280.92","2,280",Jun-26,Strata,119,"24,544",99 yrs lease commencing from 1962,09,16 to 20
THE ADELPHI,COLEMAN STREET,Office,"5,400,000","2,206.62","2,447",Jun-26,Strata,205,"26,341",999 yrs lease commencing from 1828,06,06 to 10
ARC 380,JALAN BESAR,Office,"2,236,410",753.48,"2,968",Jun-26,Strata,70,"31,949",Freehold,08,06 to 10
HIGH STREET PLAZA,HIGH STREET,Office,"1,249,200",592.02,"2,110",May-26,Strata,55,"22,713",999 yrs lease commencing from 1827,06,01 to 05
JALAN BESAR PLAZA,KITCHENER ROAD,Office,"1,600,000",742.72,"2,154",May-26,Strata,69,"23,188",Freehold,08,01 to 05
THE GOLDEN MILE,BEACH ROAD,Office,"5,496,500","1,582.31","3,474",May-26,Strata,147,"37,391",99 yrs lease commencing from 2024,07,11 to 15
LUCKY PLAZA,ORCHARD ROAD,Office,"2,934,800",505.91,"5,801",May-26,Strata,47,"62,443",Freehold,09,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Office,"1,050,000",882.65,"1,190",May-26,Strata,82,"12,805",99 yrs lease commencing from 1970,07,06 to 10
THE GOLDEN MILE,BEACH ROAD,Office,"2,861,985",904.18,"3,165",May-26,Strata,84,"34,071",99 yrs lease commencing from 2024,07,01 to 05
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,Office,"1,260,000",269.1,"4,682",May-26,Strata,25,"50,400",Freehold,10,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"960,000",548.96,"1,749",Apr-26,Strata,51,"18,824",99 yrs lease commencing from 1969,06,21 to 25
ORCHARD TOWERS,ORCHARD ROAD,Office,"3,680,000","1,506.96","2,442",Apr-26,Strata,140,"26,286",Freehold,09,21 to 25
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,000,000",548.96,"1,822",Apr-26,Strata,51,"19,608",99 yrs lease commencing from 1969,06,21 to 25
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"960,000",548.96,"1,749",Apr-26,Strata,51,"18,824",99 yrs lease commencing from 1969,06,21 to 25
TEXTILE CENTRE,JALAN SULTAN,Office,"948,888",882.65,"1,075",Apr-26,Strata,82,"11,572",99 yrs lease commencing from 1970,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"700,000",430.56,"1,626",Apr-26,Strata,40,"17,500",99 yrs lease commencing from 1968,07,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"3,460,050","1,140.98","3,033",Apr-26,Strata,106,"32,642",99 yrs lease commencing from 2023,09,01 to 05
