Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,"445,000",236.81,"1,879",Jun-26,Strata,22,"20,227",Freehold,19,01 to 05
ARTISAN 8,SIN MING ROAD,Retail,"3,146,000",850.36,"3,700",May-26,Strata,79,"39,823",Freehold,20,01 to 05
SKY EDEN@BEDOK,BEDOK CENTRAL,Retail,"4,262,500",775.01,"5,500",May-26,Strata,72,"59,201",99 yrs lease commencing from 2022,16,01 to 05
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,"413,000",236.81,"1,744",May-26,Strata,22,"18,773",Freehold,19,B1 to B5
THOMSON V TWO,SIN MING ROAD,Retail,"950,000",269.1,"3,530",May-26,Strata,25,"38,000",Freehold,20,01 to 05
EAST VILLAGE,UPPER CHANGI ROAD,Retail,"371,559",107.64,"3,452",Apr-26,Strata,10,"37,156",Freehold,16,01 to 05
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,"750,000",333.68,"2,248",Apr-26,Strata,31,"24,194",Freehold,19,01 to 05
YELEY BUILDING,UPPER SERANGOON ROAD,Retail,"3,000,000","1,420.85","2,111",Mar-26,Strata,132,"22,727",Freehold,19,01 to 05
EASTWOOD CENTRE,EASTWOOD ROAD,Retail,"928,000",419.8,"2,211",Mar-26,Strata,39,"23,795",99 yrs lease commencing from 1995,16,01 to 05
JADESCAPE,SHUNFU ROAD,Retail,"1,860,000",538.2,"3,456",Jan-26,Strata,50,"37,200",99 yrs lease commencing from 2018,20,01 to 05
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,"368,000",204.52,"1,799",Jan-26,Strata,19,"19,368",Freehold,19,01 to 05
THOMSON PLAZA,UPPER THOMSON ROAD,Retail,"1,620,000",333.68,"4,855",Jan-26,Strata,31,"52,258",99 yrs lease commencing from 1976,20,01 to 05
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,"1,180,000",398.27,"2,963",Jan-26,Strata,37,"31,892",Freehold,19,01 to 05
N.A.,TAMPINES AVENUE,Retail,"1,178,888","1,808.35",652,Nov-25,Strata,168,"7,017",99 yrs lease commencing from 1953,18,-
THOMSON PLAZA,UPPER THOMSON ROAD,Retail,"4,700,000",452.09,"10,396",Nov-25,Strata,42,"111,905",99 yrs lease commencing from 1976,20,01 to 05
SPACE @ KOVAN,YIO CHU KANG ROAD,Retail,"1,000,000",312.16,"3,204",Nov-25,Strata,29,"34,483",Freehold,19,01 to 05
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,"450,000",204.52,"2,200",Oct-25,Strata,19,"23,684",Freehold,19,B1 to B5
ARTISAN 8,SIN MING ROAD,Retail,"4,082,000","1,076.4","3,792",Oct-25,Strata,100,"40,820",Freehold,20,01 to 05
SIMON PLAZA,KOVAN ROAD,Retail,"2,900,000",968.76,"2,994",Oct-25,Strata,90,"32,222",Freehold,19,01 to 05
ARTISAN 8,SIN MING ROAD,Retail,"1,138,000",279.86,"4,066",Oct-25,Strata,26,"43,769",Freehold,20,01 to 05
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,"500,000",387.5,"1,290",Sep-25,Strata,36,"13,889",Freehold,19,B1 to B5
THE MIDTOWN,UPPER SERANGOON ROAD,Retail,"1,650,000",796.54,"2,071",Sep-25,Strata,74,"22,297",99 yrs lease commencing from 2013,19,01 to 05
THE MIDTOWN,UPPER SERANGOON ROAD,Retail,"1,650,000",796.54,"2,071",Sep-25,Strata,74,"22,297",99 yrs lease commencing from 2013,19,01 to 05
EAST VILLAGE,UPPER CHANGI ROAD,Retail,"337,615",107.64,"3,137",Sep-25,Strata,10,"33,762",Freehold,16,01 to 05
KENSINGTON SQUARE,JALAN LOKAM,Retail,"1,009,174",344.45,"2,930",Aug-25,Strata,32,"31,537",Freehold,19,01 to 05
N.A.,UPPER PAYA LEBAR ROAD,Retail,"4,500,000","1,345.5","3,344",Jul-25,Strata,125,"36,000",Freehold,19,-
EAST VILLAGE,UPPER CHANGI ROAD,Retail,"500,000",161.46,"3,097",Jul-25,Strata,15,"33,333",Freehold,16,01 to 05
THE MIDTOWN,UPPER SERANGOON ROAD,Retail,"1,700,000",764.24,"2,224",Jun-25,Strata,71,"23,944",99 yrs lease commencing from 2013,19,01 to 05
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,Retail,"2,000,000",602.78,"3,318",Jun-25,Strata,56,"35,714",99 yrs lease commencing from 2018,19,B1 to B5
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,"363,000",182.99,"1,984",Jun-25,Strata,17,"21,353",Freehold,19,B1 to B5
