Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Shop House,"15,000,000","2,146.34","6,989",Jun-26,Land,199.4,"75,226",999 yrs lease commencing from 1956,19,-
N.A.,UPPER SERANGOON ROAD,Shop House,"3,350,000","1,603.84","2,089",Mar-26,Land,149,"22,483",Freehold,19,-
N.A.,UPPER SERANGOON ROAD,Shop House,"3,500,000","1,175.43","2,978",Oct-25,Land,109.2,"32,051",Freehold,19,-
N.A.,YIO CHU KANG ROAD,Shop House,"2,900,000","1,866.48","1,554",Sep-25,Land,173.4,"16,724",Freehold,19,-
N.A.,TOH AVENUE,Shop House,"2,000,000","1,703.94","1,174",Aug-25,Land,158.3,"12,634",Freehold,17,-
N.A.,CLOVER WAY,Shop House,"4,200,000","1,767.45","2,376",Aug-25,Land,164.2,"25,579",Freehold,20,-
THOMSON GARDEN ESTATE,UPPER THOMSON ROAD,Shop House,"7,390,000","1,909.53","3,870",Apr-25,Land,177.4,"41,657",Freehold,20,-
N.A.,UPPER THOMSON ROAD,Shop House,"7,600,000","1,624.29","4,679",Apr-25,Land,150.9,"50,364",Freehold,20,-
N.A.,UPPER PAYA LEBAR ROAD,Shop House,"3,000,000","2,468.19","1,215",Mar-25,Land,229.3,"13,083",Freehold,19,-
N.A.,UPPER PAYA LEBAR ROAD,Shop House,"4,320,000","1,675.95","2,578",Mar-25,Land,155.7,"27,746",Freehold,19,-
N.A.,YIO CHU KANG ROAD,Shop House,"5,200,000","1,603.84","3,242",Mar-25,Land,149,"34,899",Freehold,19,-
N.A.,UPPER PAYA LEBAR ROAD,Shop House,"2,600,000","1,433.76","1,813",Mar-25,Land,133.2,"19,520",Freehold,19,-
PEOPLE'S GARDEN,LORONG 1 REALTY PARK,Shop House,"3,800,000","1,711.48","2,220",Jan-25,Strata,159,"23,899",999 yrs lease commencing from 1879,19,-
SERANGOON GARDEN ESTATE,LICHFIELD ROAD,Shop House,"4,000,000","2,318.57","1,725",Nov-24,Land,215.4,"18,570",999 yrs lease commencing from 1957,19,-
ADELPHI PARK ESTATE,JASMINE ROAD,Shop House,"4,500,000","1,401.47","3,211",Sep-24,Land,130.2,"34,562",Freehold,20,-
SEMBAWANG HILLS ESTATE,JALAN GELENGGANG,Shop House,"5,000,000","2,895.52","1,727",Sep-24,Land,269,"18,587",Freehold,20,-
N.A.,UPPER PAYA LEBAR ROAD,Shop House,"2,889,000","1,377.79","2,097",Aug-24,Land,128,"22,570",Freehold,19,-
N.A.,YIO CHU KANG ROAD,Shop House,"3,500,000","1,601.68","2,185",Apr-24,Land,148.8,"23,522",Freehold,19,-
YEW LIAN PARK,UPPER THOMSON ROAD,Shop House,"10,000,000","1,607.07","6,223",Apr-24,Land,149.3,"66,979",Freehold,20,-
N.A.,THOMSON RIDGE,Shop House,"17,000,000","3,482.15","4,882",Oct-23,Land,323.5,"52,550",Freehold,20,-
N.A.,UPPER PAYA LEBAR ROAD,Shop House,"3,300,000","1,828.8","1,804",Aug-23,Land,169.9,"19,423",Freehold,19,-
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Shop House,"13,500,000","2,146.34","6,290",Jul-23,Land,199.4,"67,703",999 yrs lease commencing from 1955,19,-
SEMBAWANG HILLS ESTATE,CASUARINA ROAD,Shop House,"5,700,000","2,005.33","2,842",Jun-23,Land,186.3,"30,596",Freehold,20,-
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Shop House,"17,490,000","3,101.11","5,640",May-23,Land,288.1,"60,708",999 yrs lease commencing from 1957,19,-
THOMSON GARDEN ESTATE,UPPER THOMSON ROAD,Shop House,"5,800,000","1,909.53","3,037",May-23,Land,177.4,"32,694",Freehold,20,-
