Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
THE VENUE SHOPPES,TAI THONG CRESCENT,Retail,"3,185,000",958,"3,325",Jul-26,Strata,89,"35,787",99 yrs lease commencing from 2012,13,01 to 05
TREASURES@G19,LORONG 19 GEYLANG,Retail,"850,000",322.92,"2,632",Jun-26,Strata,30,"28,333",Freehold,14,01 to 05
TREASURES@G19,LORONG 19 GEYLANG,Retail,"950,000",355.21,"2,674",Jun-26,Strata,33,"28,788",Freehold,14,01 to 05
TREASURES@G19,LORONG 19 GEYLANG,Retail,"888,000",355.21,"2,500",Jun-26,Strata,33,"26,909",Freehold,14,01 to 05
TREASURES@G19,LORONG 19 GEYLANG,Retail,"850,000",355.21,"2,393",Jun-26,Strata,33,"25,758",Freehold,14,01 to 05
ROXY SQUARE,EAST COAST ROAD,Retail,"735,000",279.86,"2,626",Jun-26,Strata,26,"28,269",9999 yrs lease commencing from 1980,15,01 to 05
OKIO,BALESTIER ROAD,Retail,"4,880,000","2,357.32","2,070",Jun-26,Strata,219,"22,283",Freehold,12,01 to 05
TREASURES@G19,LORONG 19 GEYLANG,Retail,"888,000",333.68,"2,661",Jun-26,Strata,31,"28,645",Freehold,14,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,"950,000",376.74,"2,522",May-26,Strata,35,"27,143",Freehold,15,B1 to B5
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,"560,000",172.22,"3,252",May-26,Strata,16,"35,000",Freehold,15,B1 to B5
PARKWAY PARADE,MARINE PARADE ROAD,Retail,"3,800,000",828.83,"4,585",May-26,Strata,77,"49,351",99 yrs lease commencing from 1979,15,01 to 05
GREEN COURT,GEYLANG ROAD,Retail,"3,900,000","1,722.24","2,264",May-26,Strata,160,"24,375",Freehold,14,-
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,"555,000",204.52,"2,714",Apr-26,Strata,19,"29,211",Freehold,15,B1 to B5
