Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
KENSINGTON SQUARE,JALAN LOKAM,Office,"910,000",301.39,"3,019",Dec-25,Strata,28,"32,500",Freehold,19,01 to 05
EAST VILLAGE,UPPER CHANGI ROAD,Office,"530,000",150.7,"3,517",Jun-24,Strata,14,"37,857",Freehold,16,01 to 05
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Office,"550,000",204.52,"2,689",May-24,Strata,19,"28,947",Freehold,19,01 to 05
HIGHLAND CENTRE,YIO CHU KANG ROAD,Office,"820,000",613.55,"1,336",Feb-24,Strata,57,"14,386",Freehold,19,01 to 05
N.A.,UPPER SERANGOON ROAD,Office,"1,680,000","1,851.41",907,Oct-23,Strata,172,"9,767",999 yrs lease commencing from 1878,19,01 to 05
HOUGANG GREEN SHOPPING MALL,HOUGANG STREET 51,Office,"1,150,000",269.1,"4,274",Sep-23,Strata,25,"46,000",99 yrs lease commencing from 1994,19,01 to 05
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Office,"428,000",204.52,"2,093",Aug-23,Strata,19,"22,526",Freehold,19,01 to 05
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Office,"370,000",182.99,"2,022",Apr-23,Strata,17,"21,765",Freehold,19,01 to 05
SUNHAVEN,UPPER CHANGI ROAD EAST,Office,"855,000",559.73,"1,528",Apr-23,Strata,52,"16,442",Freehold,16,01 to 05
KENSINGTON SQUARE,JALAN LOKAM,Office,"600,000",236.81,"2,534",Aug-22,Strata,22,"27,273",Freehold,19,01 to 05
HIGHLAND CENTRE,YIO CHU KANG ROAD,Office,"840,000",656.6,"1,279",Apr-22,Strata,61,"13,770",Freehold,19,01 to 05
EAST VILLAGE,UPPER CHANGI ROAD,Office,"515,000",150.7,"3,417",Dec-21,Strata,14,"36,786",Freehold,16,01 to 05
HIGHLAND CENTRE,YIO CHU KANG ROAD,Office,"520,000",387.5,"1,342",Oct-21,Strata,36,"14,444",Freehold,19,01 to 05
THE PROMENADE@PELIKAT,JALAN PELIKAT,Office,"508,000",258.34,"1,966",Aug-21,Strata,24,"21,167",Freehold,19,01 to 05
