Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
SBF CENTER,ROBINSON ROAD,Office,"1,880,000",559.73,"3,359",Jul-26,Strata,52,"36,154",99 yrs lease commencing from 2011,01,26 to 30
THE CENTRAL,EU TONG SEN STREET,Office,"1,730,000",635.08,"2,724",Jun-26,Strata,59,"29,322",99 yrs lease commencing from 2001,01,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,800,000",645.84,"2,787",Jun-26,Strata,60,"30,000",99 yrs lease commencing from 2001,01,11 to 15
PS100,PECK SEAH STREET,Office,"1,350,000",516.67,"2,613",Jun-26,Strata,48,"28,125",99 yrs lease commencing from 2011,02,06 to 10
HAVELOCK2,HAVELOCK ROAD,Office,"1,388,000",613.55,"2,262",Jun-26,Strata,57,"24,351",99 yrs lease commencing from 1983,01,01 to 05
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"9,949,300","2,927.81","3,398",Jun-26,Strata,272,"36,578",99 yrs lease commencing from 1989,01,31 to 35
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"10,307,520","4,294.84","2,400",Jun-26,Strata,399,"25,833",99 yrs lease commencing from 1989,01,11 to 15
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"671,600",312.16,"2,151",Jun-26,Strata,29,"23,159",99 yrs lease commencing from 1980,03,01 to 05
SBF CENTER,ROBINSON ROAD,Office,"4,600,000","1,474.67","3,119",Jun-26,Strata,137,"33,577",99 yrs lease commencing from 2011,01,11 to 15
THE CENTRAL,EU TONG SEN STREET,Office,"1,780,000",635.08,"2,803",May-26,Strata,59,"30,169",99 yrs lease commencing from 2001,01,06 to 10
SBF CENTER,ROBINSON ROAD,Office,"2,000,000",624.31,"3,204",May-26,Strata,58,"34,483",99 yrs lease commencing from 2011,01,21 to 25
N.A.,ROBINSON ROAD,Office,"16,100,000","4,348.66","3,702",May-26,Strata,404,"39,851",Freehold,01,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"370,000",161.46,"2,292",May-26,Strata,15,"24,667",99 yrs lease commencing from 1970,02,26 to 30
THE CENTRAL,EU TONG SEN STREET,Office,"8,100,000","2,658.71","3,047",May-26,Strata,247,"32,794",99 yrs lease commencing from 2001,01,11 to 15
THE CENTRAL,EU TONG SEN STREET,Office,"3,050,000",882.65,"3,456",May-26,Strata,82,"37,195",99 yrs lease commencing from 2001,01,11 to 15
PLUS,CECIL STREET,Office,"1,325,000",516.67,"2,564",Apr-26,Strata,48,"27,604",99 yrs lease commencing from 1989,01,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"2,956,877",882.65,"3,350",Apr-26,Strata,82,"36,059",99 yrs lease commencing from 2001,01,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"2,956,877",882.65,"3,350",Apr-26,Strata,82,"36,059",99 yrs lease commencing from 2001,01,16 to 20
HAVELOCK2,HAVELOCK ROAD,Office,"1,300,000",516.67,"2,516",Apr-26,Strata,48,"27,083",99 yrs lease commencing from 1983,01,01 to 05
GB BUILDING,CECIL STREET,Office,"10,200,000","5,425.06","1,880",Apr-26,Strata,504,"20,238",99 yrs lease commencing from 1982,01,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"2,590,000",925.7,"2,798",Apr-26,Strata,86,"30,116",99 yrs lease commencing from 2001,01,16 to 20
