Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
OXLEY TOWER,ROBINSON ROAD,Retail,"615,000",150.7,"4,081",Jun-23,Strata,14,"43,929",Freehold,01,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"1,504,000",376.74,"3,992",May-23,Strata,35,"42,971",Freehold,03,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"1,225,000",409.03,"2,995",May-23,Strata,38,"32,237",Freehold,03,01 to 05
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,Retail,"936,800",516.67,"1,813",May-23,Strata,48,"19,517",99 yrs lease commencing from 2005,05,01 to 05
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,Retail,"2,590,000","1,140.98","2,270",May-23,Strata,106,"24,434",99 yrs lease commencing from 2005,05,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"1,700,000",365.98,"4,645",Apr-23,Strata,34,"50,000",99 yrs lease commencing from 1968,01,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"2,080,000",452.09,"4,601",Apr-23,Strata,42,"49,524",99 yrs lease commencing from 1968,01,01 to 05
SOLITAIRE ON CECIL,CECIL STREET,Retail,"8,178,000",936.47,"8,733",Apr-23,Strata,87,"94,000",Freehold,01,01 to 05
SOLITAIRE ON CECIL,CECIL STREET,Retail,"5,054,400",936.47,"5,397",Apr-23,Strata,87,"58,097",Freehold,01,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"800,000",226.04,"3,539",Mar-23,Strata,21,"38,095",Freehold,03,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"500,000",129.17,"3,871",Feb-23,Strata,12,"41,667",Freehold,01,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"1,080,000",452.09,"2,389",Feb-23,Strata,42,"25,714",Freehold,03,01 to 05
THE CENTRAL,EU TONG SEN STREET,Retail,"4,426,000","1,453.14","3,046",Jan-23,Strata,135,"32,785",99 yrs lease commencing from 2001,01,11 to 15
