Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
PARKWAY CENTRE,MARINE PARADE CENTRAL,Office,"2,107,520","1,184.04","1,780",Jul-26,Strata,110,"19,159",99 yrs lease commencing from 1981,15,11 to 15
TREASURES@G19,LORONG 19 GEYLANG,Office,"950,000",322.92,"2,942",Jun-26,Strata,30,"31,667",Freehold,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"3,080,000","1,356.26","2,271",Jun-26,Strata,126,"24,444",99 yrs lease commencing from 2011,14,11 to 15
PEK CHUAN BUILDING,LAVENDER STREET,Office,"715,000",645.84,"1,107",Jun-26,Strata,60,"11,917",99 yrs lease commencing from 1978,12,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,260,000",548.96,"2,295",Jun-26,Strata,51,"24,706",99 yrs lease commencing from 2011,14,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"735,000",344.45,"2,134",May-26,Strata,32,"22,969",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,250,000",484.38,"2,581",May-26,Strata,45,"27,778",99 yrs lease commencing from 2011,14,06 to 10
ICON@CHANGI,CHANGI ROAD,Office,"262,288",129.17,"2,031",May-26,Strata,12,"21,857",Freehold,14,B1 to B5
THE MEZZO,BALESTIER ROAD,Office,"1,150,000",592.02,"1,943",Apr-26,Strata,55,"20,909",Freehold,12,01 to 05
THE MEZZO,BALESTIER ROAD,Office,"1,120,560",667.37,"1,679",Apr-26,Strata,62,"18,074",Freehold,12,01 to 05
PEK CHUAN BUILDING,LAVENDER STREET,Office,"1,430,000","1,313.21","1,089",Apr-26,Strata,122,"11,721",99 yrs lease commencing from 1978,12,01 to 05
PEK CHUAN BUILDING,LAVENDER STREET,Office,"715,000",645.84,"1,107",Apr-26,Strata,60,"11,917",99 yrs lease commencing from 1978,12,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,690,000",721.19,"2,343",Mar-26,Strata,67,"25,224",99 yrs lease commencing from 2011,14,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,408,000",635.08,"2,217",Mar-26,Strata,59,"23,864",99 yrs lease commencing from 2011,14,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"900,000",516.67,"1,742",Mar-26,Strata,48,"18,750",Freehold,15,01 to 05
WIS@CHANGI,CHANGI ROAD,Office,"821,000",635.08,"1,293",Mar-26,Strata,59,"13,915",Freehold,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,200,000",538.2,"2,230",Feb-26,Strata,50,"24,000",99 yrs lease commencing from 2011,14,06 to 10
THE MEZZO,BALESTIER ROAD,Office,"976,888",581.26,"1,681",Jan-26,Strata,54,"18,091",Freehold,12,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,200,000",538.2,"2,230",Jan-26,Strata,50,"24,000",99 yrs lease commencing from 2011,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,200,000",538.2,"2,230",Jan-26,Strata,50,"24,000",99 yrs lease commencing from 2011,14,01 to 05
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"330,000",118.4,"2,787",Jan-26,Strata,11,"30,000",Freehold,14,01 to 05
THE MEZZO,BALESTIER ROAD,Office,"1,008,888",592.02,"1,704",Jan-26,Strata,55,"18,343",Freehold,12,01 to 05
GIFFARD MANSIONS,BALESTIER ROAD,Office,"858,000",505.91,"1,696",Jan-26,Strata,47,"18,255",Freehold,12,01 to 05
PEK CHUAN BUILDING,LAVENDER STREET,Office,"718,000",645.84,"1,112",Dec-25,Strata,60,"11,967",99 yrs lease commencing from 1978,12,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"638,888",161.46,"3,957",Dec-25,Strata,15,"42,593",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,410,000",635.08,"2,220",Dec-25,Strata,59,"23,898",99 yrs lease commencing from 2011,14,06 to 10
WIS@CHANGI,CHANGI ROAD,Office,"1,050,000",818.06,"1,284",Dec-25,Strata,76,"13,816",Freehold,14,01 to 05
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"738,000",462.85,"1,594",Nov-25,Strata,43,"17,163",Freehold,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,250,000",968.76,"2,323",Nov-25,Strata,90,"25,000",99 yrs lease commencing from 2011,14,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,167,500",538.2,"2,169",Nov-25,Strata,50,"23,350",99 yrs lease commencing from 2011,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,167,500",538.2,"2,169",Nov-25,Strata,50,"23,350",99 yrs lease commencing from 2011,14,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"730,000",344.45,"2,119",Nov-25,Strata,32,"22,813",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,150,000",958,"2,244",Oct-25,Strata,89,"24,157",99 yrs lease commencing from 2011,14,11 to 15
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"765,000",462.85,"1,653",Oct-25,Strata,43,"17,791",Freehold,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,190,000",538.2,"2,211",Sep-25,Strata,50,"23,800",99 yrs lease commencing from 2011,14,06 to 10
GOLDHILL SHOPPING CENTRE,THOMSON ROAD,Office,"2,980,000","1,205.57","2,472",Sep-25,Strata,112,"26,607",999 yrs lease commencing from 1970,11,-
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,280,000",645.84,"1,982",Sep-25,Strata,60,"21,333",99 yrs lease commencing from 2011,14,11 to 15
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"638,899",172.22,"3,710",Sep-25,Strata,16,"39,931",Freehold,15,B1 to B5
THE MODULES,JOO CHIAT ROAD,Office,"1,750,000",839.59,"2,084",Sep-25,Strata,78,"22,436",Freehold,15,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"800,000",398.27,"2,009",Sep-25,Strata,37,"21,622",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,188,000",484.38,"2,453",Sep-25,Strata,45,"26,400",99 yrs lease commencing from 2011,14,11 to 15
MILLAGE,CHANGI ROAD,Office,"500,000",172.22,"2,903",Sep-25,Strata,16,"31,250",Freehold,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"6,000,000","2,680.24","2,239",Aug-25,Strata,249,"24,096",99 yrs lease commencing from 2011,14,11 to 15
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"680,000",172.22,"3,948",Aug-25,Strata,16,"42,500",Freehold,15,B1 to B5
WING FONG BUILDING,GUILLEMARD ROAD,Office,"3,100,000","3,401.42",911,Jul-25,Strata,316,"9,810",Freehold,14,-
SOHO LIFE,JOO CHIAT ROAD,Office,"1,188,000",581.26,"2,044",Jul-25,Strata,54,"22,000",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,770,000",839.59,"2,108",Jul-25,Strata,78,"22,692",99 yrs lease commencing from 2011,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,490,000",635.08,"2,346",Jul-25,Strata,59,"25,254",99 yrs lease commencing from 2011,14,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"1,040,390",688.9,"1,510",Jul-25,Strata,64,"16,256",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,172,000",484.38,"2,420",Jul-25,Strata,45,"26,044",99 yrs lease commencing from 2011,14,06 to 10
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"850,000",613.55,"1,385",Jul-25,Strata,57,"14,912",Freehold,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,200,000",958,"2,296",Jul-25,Strata,89,"24,719",99 yrs lease commencing from 2011,14,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"768,000",344.45,"2,230",Jul-25,Strata,32,"24,000",Freehold,15,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"760,000",398.27,"1,908",Jun-25,Strata,37,"20,541",Freehold,15,01 to 05
PARKWAY CENTRE,MARINE PARADE CENTRAL,Office,"1,200,000",731.95,"1,639",Jun-25,Strata,68,"17,647",99 yrs lease commencing from 1981,15,06 to 10
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"744,888",473.62,"1,573",Jun-25,Strata,44,"16,929",Freehold,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,160,000",484.38,"2,395",Jun-25,Strata,45,"25,778",99 yrs lease commencing from 2011,14,01 to 05
THE MODULES,JOO CHIAT ROAD,Office,"830,000",398.27,"2,084",Jun-25,Strata,37,"22,432",Freehold,15,01 to 05
ICON@CHANGI,CHANGI ROAD,Office,"638,000",333.68,"1,912",May-25,Strata,31,"20,581",Freehold,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,250,000",505.91,"2,471",May-25,Strata,47,"26,596",99 yrs lease commencing from 2011,14,11 to 15
THE MODULES,JOO CHIAT ROAD,Office,"1,100,000",495.14,"2,222",May-25,Strata,46,"23,913",Freehold,15,01 to 05
PAVILION SQUARE,GEYLANG ROAD,Office,"165,000",129.17,"1,277",May-25,Strata,12,"13,750",Freehold,14,01 to 05
PAVILION SQUARE,GEYLANG ROAD,Office,"165,000",129.17,"1,277",May-25,Strata,12,"13,750",Freehold,14,01 to 05
