Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
N.A.,GREENWOOD AVENUE,Shop House,"7,100,000","1,539.25","4,613",Jul-26,Strata,143,"49,650",Freehold,11,-
N.A.,BALESTIER ROAD,Shop House,"8,500,000","2,213.08","3,841",Jun-26,Land,205.6,"41,342",Freehold,12,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"6,400,000","1,498.35","4,271",Jun-26,Land,139.2,"45,977",Freehold,14,-
GREEN COURT,GEYLANG ROAD,Shop House,"3,900,000","1,700.71","2,293",May-26,Strata,158,"24,684",Freehold,14,-
N.A.,EVERITT ROAD,Shop House,"4,000,000","1,581.23","2,530",Apr-26,Land,146.9,"27,229",Freehold,15,-
N.A.,GUILLEMARD ROAD,Shop House,"3,210,000","1,159.28","2,769",Mar-26,Land,107.7,"29,805",Freehold,14,-
N.A.,EAST COAST ROAD,Shop House,"16,000,000","1,795.44","8,911",Jan-26,Land,166.8,"95,923",Freehold,15,-
SIN CHUAN GARDEN,WARINGIN PARK,Shop House,"2,450,000","1,636.13","1,497",Jan-26,Strata,152,"16,118",Freehold,14,-
N.A.,CARPMAEL ROAD,Shop House,"3,328,000","1,093.62","3,043",Jan-26,Land,101.6,"32,756",Freehold,15,-
N.A.,TANJONG KATONG ROAD,Shop House,"5,250,000","1,615.68","3,249",Jan-26,Land,150.1,"34,977",Freehold,15,-
N.A.,CHANGI ROAD,Shop House,"5,400,000","1,537.1","3,513",Dec-25,Land,142.8,"37,815",Freehold,14,-
N.A.,JOO CHIAT ROAD,Shop House,"4,880,000","1,291.68","3,778",Dec-25,Strata,120,"40,667",Freehold,15,-
N.A.,JOO CHIAT ROAD,Shop House,"6,180,000",902.02,"6,851",Nov-25,Land,83.8,"73,747",Freehold,15,-
N.A.,EAST COAST ROAD,Shop House,"4,200,000","1,335.81","3,144",Nov-25,Land,124.1,"33,844",Freehold,15,-
N.A.,SIMS AVENUE,Shop House,"4,380,000","1,487.58","2,944",Nov-25,Land,138.2,"31,693",Freehold,14,-
N.A.,JOO CHIAT ROAD,Shop House,"10,000,000","1,748.07","5,721",Oct-25,Land,162.4,"61,576",Freehold,15,-
N.A.,GREENWOOD AVENUE,Shop House,"4,100,000","1,442.38","2,843",Oct-25,Strata,134,"30,597",Freehold,11,-
N.A.,LORONG 25A GEYLANG,Shop House,"4,400,000","1,076.4","4,088",Sep-25,Strata,100,"44,000",Freehold,14,-
N.A.,EAST COAST ROAD,Shop House,"8,600,000",950.46,"9,048",Sep-25,Land,88.3,"97,395",Freehold,15,-
N.A.,LORONG 25A GEYLANG,Shop House,"1,400,000","1,033.34","1,355",Sep-25,Strata,96,"14,583",Freehold,14,-
N.A.,JOO CHIAT ROAD,Shop House,"8,700,000","1,160.36","7,498",Sep-25,Land,107.8,"80,705",Freehold,15,-
N.A.,JOO CHIAT ROAD,Shop House,"8,700,000","1,233.55","7,053",Sep-25,Land,114.6,"75,916",Freehold,15,-
N.A.,CEYLON ROAD,Shop House,"3,850,000","1,371.33","2,807",Aug-25,Land,127.4,"30,220",Freehold,15,-
N.A.,JOO CHIAT PLACE,Shop House,"8,550,000","5,482.11","1,560",Aug-25,Land,509.3,"16,788",Freehold,15,-
N.A.,TANJONG KATONG ROAD,Shop House,"5,000,000","1,512.34","3,306",Aug-25,Land,140.5,"35,587",Freehold,15,-
N.A.,TANJONG KATONG ROAD,Shop House,"4,580,000","1,668.42","2,745",Jul-25,Strata,155,"29,548",Freehold,15,-
N.A.,BALESTIER ROAD,Shop House,"920,000","1,523.11",604,Jul-25,Land,141.5,"6,502",99 yrs lease commencing from 1952,12,-
N.A.,JOO CHIAT ROAD,Shop House,"6,950,000","1,434.84","4,844",Jul-25,Land,133.3,"52,138",Freehold,15,-
N.A.,SIMS AVENUE,Shop House,"11,800,000","5,814.71","2,029",Jul-25,Land,540.2,"21,844",Freehold,14,-
