Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
N.A.,LORONG LIPUT,Shop House,"70,000,000","7,542.33","9,281",Jun-26,Land,700.7,"99,900",Freehold,10,-
N.A.,OWEN ROAD,Shop House,"2,200,000","3,372.36",652,Jun-26,Land,313.3,"7,022",99 yrs lease commencing from 1959,08,-
N.A.,ROBERTS LANE,Shop House,"4,400,000","1,121.61","3,923",May-26,Land,104.2,"42,226",Freehold,08,-
DESKER ROAD CONSERVATION AREA,ROWELL ROAD,Shop House,"6,550,000","1,190.5","5,502",May-26,Land,110.6,"59,222",Freehold,08,-
N.A.,HORNE ROAD,Shop House,"15,000,000","3,300.24","4,545",May-26,Land,306.6,"48,924",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,UPPER WELD ROAD,Shop House,"5,800,000",919.25,"6,310",May-26,Land,85.4,"67,916",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,SYED ALWI ROAD,Shop House,"10,250,000",824.52,"12,431",Mar-26,Land,76.6,"133,812",Freehold,08,-
N.A.,RANGOON ROAD,Shop House,"1,600,000","1,345.5","1,189",Mar-26,Strata,125,"12,800",Freehold,08,-
BEACH ROAD CONSERVATION AREA,PURVIS STREET,Shop House,"14,000,000","1,665.19","8,407",Feb-26,Land,154.7,"90,498",999 yrs lease commencing from 1827,07,-
N.A.,SYED ALWI ROAD,Shop House,"4,380,000","1,166.82","3,754",Feb-26,Land,108.4,"40,406",99 yrs lease commencing from 1999,08,-
N.A.,SYED ALWI ROAD,Shop House,"4,300,000","1,104.39","3,894",Feb-26,Land,102.6,"41,910",99 yrs lease commencing from 1999,08,-
KAMPONG GLAM CONSERVATION AREA,ARAB STREET,Shop House,"5,320,000",656.6,"8,102",Dec-25,Land,61,"87,213",199 yrs lease commencing from 2003,07,-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"4,880,000",630.77,"7,737",Dec-25,Land,58.6,"83,276",Freehold,08,-
DESKER ROAD CONSERVATION AREA,ROWELL ROAD,Shop House,"5,920,000","1,063.48","5,567",Dec-25,Land,98.8,"59,919",Freehold,08,-
DESKER ROAD CONSERVATION AREA,KITCHENER ROAD,Shop House,"8,188,888","1,355.19","6,043",Nov-25,Land,125.9,"65,043",999 yrs lease commencing from 1919,08,-
N.A.,SEAH STREET,Shop House,"8,000,000","1,442.38","5,546",Nov-25,Strata,134,"59,701",999 yrs lease commencing from 1827,07,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"5,500,000",866.5,"6,347",Nov-25,Land,80.5,"68,323",863 yrs lease commencing from 2014,08,-
LITTLE INDIA CONSERVATION AREA,CUFF ROAD,Shop House,"6,300,000","1,370.26","4,598",Nov-25,Land,127.3,"49,489",Freehold,08,-
KAMPONG GLAM CONSERVATION AREA,JALAN SULTAN,Shop House,"4,750,000",962.3,"4,936",Oct-25,Land,89.4,"53,132",99 yrs lease commencing from 2007,07,-
KAMPONG GLAM CONSERVATION AREA,NORTH BRIDGE ROAD,Shop House,"9,900,000","1,797.59","5,507",Oct-25,Land,167,"59,281",Freehold,07,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"8,013,000","1,950.44","4,108",Oct-25,Land,181.2,"44,222",999 yrs lease commencing from 1859,08,-
LITTLE INDIA CONSERVATION AREA,JALAN BESAR,Shop House,"7,500,000","1,300.29","5,768",Oct-25,Land,120.8,"62,086",999 yrs lease commencing from 1925,08,-
LITTLE INDIA CONSERVATION AREA,DICKSON ROAD,Shop House,"6,008,888","1,412.24","4,255",Sep-25,Land,131.2,"45,799",99 yrs lease commencing from 1930,08,-
DESKER ROAD CONSERVATION AREA,JALAN BESAR,Shop House,"36,500,000","6,377.67","5,723",Sep-25,Land,592.5,"61,603",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,SYED ALWI ROAD,Shop House,"6,000,000",729.8,"8,221",Sep-25,Land,67.8,"88,496",Freehold,08,-
KAMPONG GLAM CONSERVATION AREA,BUSSORAH STREET,Shop House,"6,350,000","1,558.63","4,074",Sep-25,Land,144.8,"43,854",99 yrs lease commencing from 2003,07,-
N.A.,ROWELL ROAD,Shop House,"5,270,000","1,046.26","5,037",Aug-25,Land,97.2,"54,218",Freehold,08,-
N.A.,LIANG SEAH STREET,Shop House,"14,200,000","1,129.14","12,576",Jul-25,Land,104.9,"135,367",999 yrs lease commencing from 1827,07,-
RACE COURSE RD/OWEN RD CON AREA,TESSENSOHN ROAD,Shop House,"5,450,000","1,724.39","3,161",Jul-25,Land,160.2,"34,020",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,DICKSON ROAD,Shop House,"6,000,000","1,202.34","4,990",Jun-25,Land,111.7,"53,715",Freehold,08,-
N.A.,JALAN BESAR,Shop House,"8,800,000","1,439.15","6,115",Jun-25,Land,133.7,"65,819",Freehold,08,-
KAMPONG GLAM CONSERVATION AREA,ARAB STREET,Shop House,"7,700,000",784.7,"9,813",May-25,Land,72.9,"105,624",999 yrs lease commencing from 1828,07,-
N.A.,SERANGOON ROAD,Shop House,"7,000,000","1,341.19","5,219",May-25,Land,124.6,"56,180",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"4,800,000",764.24,"6,281",Apr-25,Land,71,"67,606",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"7,700,000","1,190.5","6,468",Apr-25,Land,110.6,"69,620",999 yrs lease commencing from 1876,08,-
N.A.,JALAN BESAR,Shop House,"10,500,000","1,706.09","6,154",Apr-25,Land,158.5,"66,246",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,PERAK ROAD,Shop House,"8,300,000","1,760.99","4,713",Apr-25,Land,163.6,"50,733",999 yrs lease commencing from 1877,08,-
LITTLE INDIA CONSERVATION AREA,NORRIS ROAD,Shop House,"7,100,000","1,965.51","3,612",Mar-25,Land,182.6,"38,883",Freehold,08,-
KAMPONG GLAM CONSERVATION AREA,SULTAN GATE,Shop House,"19,100,000","1,777.14","10,748",Mar-25,Land,165.1,"115,687",Freehold,07,-
N.A.,SELEGIE ROAD,Shop House,"4,008,000",989.21,"4,052",Mar-25,Land,91.9,"43,613",Freehold,07,-
N.A.,LORONG LIPUT,Shop House,"11,800,000","1,679.18","7,027",Feb-25,Land,156,"75,641",Freehold,10,-
